male,female,_original_label,test,gm_male,gm_female,Gender and Name Masked,pred_male_fod,pred_female_fod
"ভাঁড়ামি ছাড়া আর কিছুই না,ফালতু গল্প বাজে অভিনয়,, এমন গুনি শিল্পী যদি এরকম ভাঁড়ামি করে তাহলে মোটেও ভাল দেখায় না","ভাঁড়ামি ছাড়া আর কিছুই না,ফালতু গল্প বাজে অভিনয়,, এমন গুনি নারী শিল্পী যদি এরকম ভাঁড়ামি করে তাহলে মোটেও ভাল দেখায় না",0.0,1,"ভাঁড়ামি ছাড়া আর কিছুই না,ফালতু গল্প বাজে অভিনয়,, এমন গুনি <Gender> যদি এরকম ভাঁড়ামি করে তাহলে মোটেও ভাল দেখায় না","ভাঁড়ামি ছাড়া আর কিছুই না,ফালতু গল্প বাজে অভিনয়,, এমন গুনি <Gender> <Gender> যদি এরকম ভাঁড়ামি করে তাহলে মোটেও ভাল দেখায় না","ভাঁড়ামি ছাড়া আর কিছুই না,ফালতু গল্প বাজে অভিনয়,, এমন গুনি <Gender> <Gender> যদি এরকম ভাঁড়ামি করে তাহলে মোটেও ভাল দেখায় না",0,0
এই নাটকে ৪ টা রাম ছাগল আর ১ টা বলদ আর কিছু যাএাপালার চাইতে ও নিম্নমানের অভিনয় ছারা আর কিছুই অবশিস্ট নাই!  পুরাই আবোল তাবোল।,এই নাটকে ৪ টা রাম ছাগলী আর ১ টা গাই আর কিছু যাএাপালার চাইতে ও নিম্নমানের অভিনয় ছারা আর কিছুই অবশিস্ট নাই! পুরাই আবোল তাবোল।,0.0,1,এই নাটকে ৪ টা রাম ছাগল আর ১ টা <Gender> আর কিছু যাএাপালার চাইতে ও নিম্নমানের অভিনয় ছারা আর কিছুই অবশিস্ট নাই! পুরাই আবোল তাবোল।,এই নাটকে ৪ টা রাম ছাগলী আর ১ টা <Gender> আর কিছু যাএাপালার চাইতে ও নিম্নমানের অভিনয় ছারা আর কিছুই অবশিস্ট নাই! পুরাই আবোল তাবোল।,এই নাটকে ৪ টা রাম <Name> আর ১ টা <Gender> আর কিছু যাএাপালার চাইতে ও নিম্নমানের অভিনয় ছারা আর কিছুই অবশিস্ট নাই! পুরাই আবোল তাবোল।,0,0
ভাই মজা পাইলাম না,ভাবী মজা পাইলাম না,0.0,1,<Gender> মজা পাইলাম না,<Gender> মজা পাইলাম না,<Gender> মজা পাইলাম না,0,0
ফালতু নাটক বানাইছে আচুদা পরিচালক,ফালতু নাটক বানাইছে আচুদা পরিচালিকা,0.0,1,ফালতু নাটক বানাইছে আচুদা <Gender>,ফালতু নাটক বানাইছে আচুদা <Gender>,ফালতু নাটক বানাইছে আচুদা <Gender>,0,0
"পরিচালক সহ সকল কলকুশলী কে অভিনন্দন,সফলতার সাথে বস্তাপচা ভাড়ামি নাটক উপহার দিতে পারার জন্য। পরবর্তী এসাইনমেন্ট নেয়ার আগে রেদওয়ান রনী কিংবা ফারুকী সাহেবের ২-১ টা নাটক দেখে নেয়ার অনুরোধ থাকলো, অবশ্য যদি আপনাদের অতো সময় হয়!","পরিচালিকা সহ সকল কলকুশলী কে অভিনন্দন,সফলতার সাথে বস্তাপচা ভাড়ামি নাটক উপহার দিতে পারার জন্য। পরবর্তী এসাইনমেন্ট নেয়ার আগে তপতী কিংবা নাজনিন সাহেবার ২-১ টা নাটক দেখে নেয়ার অনুরোধ থাকলো, অবশ্য যদি আপনাদের অতো সময় হয়!",0.0,1,"<Gender> সহ সকল কলকুশলী কে অভিনন্দন,সফলতার সাথে বস্তাপচা ভাড়ামি নাটক উপহার দিতে পারার জন্য। পরবর্তী এসাইনমেন্ট নেয়ার আগে রেদওয়ান রনী কিংবা ফারুকী সাহেবের ২-১ টা নাটক দেখে নেয়ার অনুরোধ থাকলো, অবশ্য যদি আপনাদের অতো সময় হয়!","<Gender> সহ সকল কলকুশলী কে অভিনন্দন,সফলতার সাথে বস্তাপচা ভাড়ামি নাটক উপহার দিতে পারার জন্য। পরবর্তী এসাইনমেন্ট নেয়ার আগে তপতী কিংবা নাজনিন সাহেবার ২-১ টা নাটক দেখে নেয়ার অনুরোধ থাকলো, অবশ্য যদি আপনাদের অতো সময় হয়!","<Gender> সহ সকল কলকুশলী কে অভিনন্দন,সফলতার সাথে বস্তাপচা ভাড়ামি নাটক উপহার দিতে পারার জন্য। পরবর্তী এসাইনমেন্ট নেয়ার আগে <Name> কিংবা <Name> <Name> ২-১ টা নাটক দেখে নেয়ার অনুরোধ থাকলো, অবশ্য যদি আপনাদের অতো সময় হয়!",1,1
আশরাফ ভাই আপনার প্রতিভা আছে কাজে লাগান এসব ফালতু নাটক কাজ করা বাদ দেন ???? আপনার অভিনয় অনেক সুন্দর so .......,সাহানা আফা আপনার প্রতিভা আছে কাজে লাগান এসব ফালতু নাটক কাজ করা বাদ দেন ???? আপনার অভিনয় অনেক সুন্দর so .......,0.0,1,আশরাফ <Gender> আপনার প্রতিভা আছে কাজে লাগান এসব ফালতু নাটক কাজ করা বাদ দেন ???? আপনার অভিনয় অনেক <Gender> so .......,সাহানা <Gender> আপনার প্রতিভা আছে কাজে লাগান এসব ফালতু নাটক কাজ করা বাদ দেন ???? আপনার অভিনয় অনেক <Gender> so .......,<Name> <Gender> আপনার প্রতিভা আছে কাজে লাগান এসব ফালতু নাটক কাজ করা বাদ দেন ???? আপনার অভিনয় অনেক <Gender> so .......,0,0
মোশাররফ ভাই আপনার প্রতিভা আছে কাজে লাগান এসব ফালতু নাটক কাজ করা বাদ দেন ???? আপনার অভিনয় অনেক সুন্দর so .......,মাইশা বোন আপনার প্রতিভা আছে কাজে লাগান এসব ফালতু নাটক কাজ করা বাদ দেন ???? আপনার অভিনয় অনেক সুন্দর so .......,0.0,1,মোশাররফ <Gender> আপনার প্রতিভা আছে কাজে লাগান এসব ফালতু নাটক কাজ করা বাদ দেন ???? আপনার অভিনয় অনেক <Gender> so .......,মাইশা <Gender> আপনার প্রতিভা আছে কাজে লাগান এসব ফালতু নাটক কাজ করা বাদ দেন ???? আপনার অভিনয় অনেক <Gender> so .......,<Name> <Gender> আপনার প্রতিভা আছে কাজে লাগান এসব ফালতু নাটক কাজ করা বাদ দেন ???? আপনার অভিনয় অনেক <Gender> so .......,0,0
"ফাইজলামির একটা সীমা আছে... প্রোডিউসার এর কি টাকা বেশি হয়ে গেছে নাকি? এত্ত ভালো আরটিষ্ট দিয়ে একই ধরনের ফাইজলামি তৈরি করেই যাচ্ছে। এতে নাটক এর ভক্ত আর দর্শক হারিয়ে যাচ্ছে। ষ্টোরি রাইটার কি গাজা খায় নাকি? নতুন কোনো গল্প যা বাস্তবিক আর বর্তমান সমাজ প্রেক্ষাপটে লিখে দিলেই হয়... আর করিম ভাই এইসব কি প্রোডাকশন এর কাজ করেন? আপনি কি বুঝেন না, এতে আপনার রেপুটেশন আর ভক্ত হারাচ্ছেন?নতুন কিছু করেন ভাই।।","ফাইজলামির একটা সীমা আছে... প্রোডিউসার এর কি টাকা বেশি হয়ে গেছে নাকি? এত্ত ভালো আরটিষ্ট দিয়ে একই ধরনের ফাইজলামি তৈরি করেই যাচ্ছে। এতে নাটক এর ভক্ত আর দর্শক হারিয়ে যাচ্ছে। ষ্টোরি রাইটার কি গাজা খায় নাকি? নতুন কোনো গল্প যা বাস্তবিক আর বর্তমান সমাজ প্রেক্ষাপটে লিখে দিলেই হয়... আর মুসফিকা আফা এইসব কি প্রোডাকশন এর কাজ করেন? আপনি কি বুঝেন না, এতে আপনার রেপুটেশন আর ভক্ত হারাচ্ছেন?নতুন কিছু করেন আফা।।",0.0,1,"ফাইজলামির একটা সীমা আছে... প্রোডিউসার এর কি টাকা বেশি হয়ে গেছে নাকি? এত্ত ভালো আরটিষ্ট দিয়ে একই ধরনের ফাইজলামি তৈরি করেই যাচ্ছে। এতে নাটক এর ভক্ত আর দর্শক হারিয়ে যাচ্ছে। ষ্টোরি রাইটার কি গাজা খায় নাকি? নতুন কোনো গল্প যা বাস্তবিক আর বর্তমান সমাজ প্রেক্ষাপটে লিখে দিলেই হয়... আর করিম <Gender> এইসব কি প্রোডাকশন এর কাজ করেন? আপনি কি বুঝেন না, এতে আপনার রেপুটেশন আর ভক্ত হারাচ্ছেন?নতুন কিছু করেন ভাই।।","ফাইজলামির একটা সীমা আছে... প্রোডিউসার এর কি টাকা বেশি হয়ে গেছে নাকি? এত্ত ভালো আরটিষ্ট দিয়ে একই ধরনের ফাইজলামি তৈরি করেই যাচ্ছে। এতে নাটক এর ভক্ত আর দর্শক হারিয়ে যাচ্ছে। ষ্টোরি রাইটার কি গাজা খায় নাকি? নতুন কোনো গল্প যা বাস্তবিক আর বর্তমান সমাজ প্রেক্ষাপটে লিখে দিলেই হয়... আর মুসফিকা <Gender> এইসব কি প্রোডাকশন এর কাজ করেন? আপনি কি বুঝেন না, এতে আপনার রেপুটেশন আর ভক্ত হারাচ্ছেন?নতুন কিছু করেন আফা।।","ফাইজলামির একটা সীমা আছে... প্রোডিউসার এর কি টাকা বেশি হয়ে গেছে নাকি? এত্ত ভালো আরটিষ্ট দিয়ে একই ধরনের ফাইজলামি তৈরি করেই যাচ্ছে। এতে নাটক এর ভক্ত আর দর্শক হারিয়ে যাচ্ছে। ষ্টোরি রাইটার কি গাজা খায় নাকি? নতুন কোনো গল্প যা বাস্তবিক আর বর্তমান সমাজ প্রেক্ষাপটে লিখে দিলেই হয়... আর <Name> <Gender> এইসব কি প্রোডাকশন এর কাজ করেন? আপনি কি বুঝেন না, এতে আপনার রেপুটেশন আর ভক্ত হারাচ্ছেন?নতুন কিছু করেন <Name>",0,0
"ফাইজলামির একটা সীমা আছে... প্রোডিউসার এর কি টাকা বেশি হয়ে গেছে নাকি? এত্ত ভালো আরটিষ্ট দিয়ে একই ধরনের ফাইজলামি তৈরি করেই যাচ্ছে। এতে নাটক এর ভক্ত আর দর্শক হারিয়ে যাচ্ছে। ষ্টোরি রাইটার কি গাজা খায় নাকি? নতুন কোনো গল্প যা বাস্তবিক আর বর্তমান সমাজ প্রেক্ষাপটে লিখে দিলেই হয়... আর করিম ভাই এইসব কি প্রোডাকশন এর কাজ করেন? আপনি কি বুঝেন না, এতে আপনার রেপুটেশন আর ভক্ত হারাচ্ছেন?নতুন কিছু করেন ভাই।।","ফাইজলামির একটা সীমা আছে... প্রোডিউসার এর কি টাকা বেশি হয়ে গেছে নাকি? এত্ত ভালো আরটিষ্ট দিয়ে একই ধরনের ফাইজলামি তৈরি করেই যাচ্ছে। এতে নাটক এর ভক্ত আর দর্শক হারিয়ে যাচ্ছে। ষ্টোরি রাইটার কি গাজা খায় নাকি? নতুন কোনো গল্প যা বাস্তবিক আর বর্তমান সমাজ প্রেক্ষাপটে লিখে দিলেই হয়... আর হাবিবা ভাবী এইসব কি প্রোডাকশন এর কাজ করেন? আপনি কি বুঝেন না, এতে আপনার রেপুটেশন আর ভক্ত হারাচ্ছেন?নতুন কিছু করেন ভাবী।।",0.0,1,"ফাইজলামির একটা সীমা আছে... প্রোডিউসার এর কি টাকা বেশি হয়ে গেছে নাকি? এত্ত ভালো আরটিষ্ট দিয়ে একই ধরনের ফাইজলামি তৈরি করেই যাচ্ছে। এতে নাটক এর ভক্ত আর দর্শক হারিয়ে যাচ্ছে। ষ্টোরি রাইটার কি গাজা খায় নাকি? নতুন কোনো গল্প যা বাস্তবিক আর বর্তমান সমাজ প্রেক্ষাপটে লিখে দিলেই হয়... আর করিম <Gender> এইসব কি প্রোডাকশন এর কাজ করেন? আপনি কি বুঝেন না, এতে আপনার রেপুটেশন আর ভক্ত হারাচ্ছেন?নতুন কিছু করেন ভাই।।","ফাইজলামির একটা সীমা আছে... প্রোডিউসার এর কি টাকা বেশি হয়ে গেছে নাকি? এত্ত ভালো আরটিষ্ট দিয়ে একই ধরনের ফাইজলামি তৈরি করেই যাচ্ছে। এতে নাটক এর ভক্ত আর দর্শক হারিয়ে যাচ্ছে। ষ্টোরি রাইটার কি গাজা খায় নাকি? নতুন কোনো গল্প যা বাস্তবিক আর বর্তমান সমাজ প্রেক্ষাপটে লিখে দিলেই হয়... আর হাবিবা <Gender> এইসব কি প্রোডাকশন এর কাজ করেন? আপনি কি বুঝেন না, এতে আপনার রেপুটেশন আর ভক্ত হারাচ্ছেন?নতুন কিছু করেন ভাবী।।","ফাইজলামির একটা সীমা আছে... প্রোডিউসার এর কি টাকা বেশি হয়ে গেছে নাকি? এত্ত ভালো আরটিষ্ট দিয়ে একই ধরনের ফাইজলামি তৈরি করেই যাচ্ছে। এতে নাটক এর ভক্ত আর দর্শক হারিয়ে যাচ্ছে। ষ্টোরি রাইটার কি গাজা খায় নাকি? নতুন কোনো গল্প যা বাস্তবিক আর বর্তমান সমাজ প্রেক্ষাপটে লিখে দিলেই হয়... আর <Name> <Gender> এইসব কি প্রোডাকশন এর কাজ করেন? আপনি কি বুঝেন না, এতে আপনার রেপুটেশন আর ভক্ত হারাচ্ছেন?নতুন কিছু করেন <Name>",0,0
বাজারের সস্তা ছেলে দিয়ে নাটক বানাইলে যা হয় অার কি,বাজারের সস্তা মেয়ে দিয়ে নাটক বানাইলে যা হয় অার কি,0.0,1,বাজারের সস্তা <Gender> দিয়ে নাটক বানাইলে যা হয় অার কি,বাজারের সস্তা <Gender> দিয়ে নাটক বানাইলে যা হয় অার কি,বাজারের সস্তা <Gender> দিয়ে নাটক বানাইলে যা হয় অার কি,0,0
ভাই এগুলো তো সিনেমার থেকেও খারাপ,বোন এগুলো তো সিনেমার থেকেও খারাপ,0.0,1,<Gender> এগুলো তো সিনেমার থেকেও খারাপ,<Gender> এগুলো তো সিনেমার থেকেও খারাপ,<Gender> এগুলো তো সিনেমার থেকেও খারাপ,0,0
ভাই এগুলো তো সিনেমার থেকেও খারাপ,ভাবী এগুলো তো সিনেমার থেকেও খারাপ,0.0,1,<Gender> এগুলো তো সিনেমার থেকেও খারাপ,<Gender> এগুলো তো সিনেমার থেকেও খারাপ,<Gender> এগুলো তো সিনেমার থেকেও খারাপ,0,0
শামিম ভাই এইসব ফালতু নাটকে কেন অবিনয় করলেন,সরলা আফা এইসব ফালতু নাটকে কেন অবিনয় করলেন,0.0,1,শামিম <Gender> এইসব ফালতু নাটকে কেন অবিনয় করলেন,<Gender> <Gender> এইসব ফালতু নাটকে কেন অবিনয় করলেন,<Gender> <Gender> এইসব ফালতু নাটকে কেন অবিনয় করলেন,0,0
এমন বাজে নাটকে শামীম ভাই অভিনয় করা মানায় না,এমন বাজে নাটকে আয়েশা ভাবী অভিনয় করা মানায় না,0.0,1,এমন বাজে নাটকে শামীম <Gender> অভিনয় করা মানায় না,এমন বাজে নাটকে আয়েশা <Gender> অভিনয় করা মানায় না,এমন বাজে নাটকে <Name> <Gender> অভিনয় করা মানায় না,0,0
শামিম ভাই আপনি এমন একটা ফালতু নাটক  করবেন বুজতেই পারলাম না।। খুব খারাপ লাগছে,সরলা আফা আপনি এমন একটা ফালতু নাটক করবেন বুজতেই পারলাম না।। খুব খারাপ লাগছে,0.0,1,শামিম <Gender> আপনি এমন একটা ফালতু নাটক করবেন বুজতেই পারলাম না।। খুব খারাপ লাগছে,<Gender> <Gender> আপনি এমন একটা ফালতু নাটক করবেন বুজতেই পারলাম না।। খুব খারাপ লাগছে,<Gender> <Gender> আপনি এমন একটা ফালতু নাটক করবেন বুজতেই পারলাম না।। খুব খারাপ লাগছে,0,0
শামিম ভাই আপনি এমন একটা ফালতু নাটক  করবেন বুজতেই পারলাম না।। খুব খারাপ লাগছে,তপতী বোন আপনি এমন একটা ফালতু নাটক করবেন বুজতেই পারলাম না।। খুব খারাপ লাগছে,0.0,1,শামিম <Gender> আপনি এমন একটা ফালতু নাটক করবেন বুজতেই পারলাম না।। খুব খারাপ লাগছে,তপতী <Gender> আপনি এমন একটা ফালতু নাটক করবেন বুজতেই পারলাম না।। খুব খারাপ লাগছে,<Name> <Gender> আপনি এমন একটা ফালতু নাটক করবেন বুজতেই পারলাম না।। খুব খারাপ লাগছে,0,0
