male,female,_original_label,test,pred_male_kldm,pred_female_kldm
বি চৌধুরীর নাম নিশানা ডুবিয়ে দিতে মা চৌধুরী যথেষ্ট ।,বি  অর্ক র নাম নিশানা ডুবিয়ে দিতে বাবা  অর্ক  যথেষ্ট  ।,1,1,1,1
দাদা ঠিক বলেছেন রানু যতই বড়ো সিঙ্গার হোক ভিখারির মন ভিখারির মতোই থাকে ওকে রানু দি বলার দরকার নেই আমার সিদ্ধান্ত তাকে রেল স্টেশনে নিয়ে আসা উচিত আবার ভিক্ষা করুক,দিদি ঠিক বলেছেন রানু যতই বড়ো সিঙ্গার হোক ভিখারির মন ভিখারির মতোই থাকে ওকে রানু দা বলার দরকার নেই আমার সিদ্ধান্ত তাকে রেল স্টেশনে নিয়ে আসা উচিত আবার ভিক্ষা করুক,1,1,1,1
মাদক আর মাইগ্যা দেশ টা কে নষ্ট করে দিল ৷,মাদক আর মাগি দেশ টা কে নষ্ট করে দিল ৷,1,1,1,1
ভাই এত টাকা ইনকাম করেও কোন লাভ হয় নাই । দুইটা পরটার সাথে মাত্র এক পিস মাংস !,আফা এত টাকা ইনকাম করেও কোন লাভ হয় নাই  ।  দুইটা পরটার সাথে মাত্র এক পিস মাংস !,1,1,1,1
ভাই এত টাকা ইনকাম করেও কোন লাভ হয় নাই । দুইটা পরটার সাথে মাত্র এক পিস মাংস !,বোন এত টাকা ইনকাম করেও কোন লাভ হয় নাই  ।  দুইটা পরটার সাথে মাত্র এক পিস মাংস !,1,1,1,1
ভাইরে ভাই তর তামাশা কবে আসবে,আফারে আফা তর তামাশা কবে আসবে,1,1,1,1
ভাইরে ভাই তর তামাশা কবে আসবে,বোনরে বোন তর তামাশা কবে আসবে,1,1,1,1
ফাপর দিয়া নিজেকে ওস্তাদ ভাবা লোক ইনি,ফাপর দিয়া নিজেকে ওস্তাদ ভাবা স্ত্রীলোক ইনি,1,1,1,1
যার মাথা খারাপ সেকিনা সিঙ্গার হবে বাবাও ইংলিশ বলে ছেলে ইংলিশ বলে যতই ভণ্ডামি,যার মাথা খারাপ সেকিনা সিঙ্গার হবে মাও ইংলিশ বলে মেয়ে ইংলিশ বলে যতই ভণ্ডামি,1,1,1,1
চোরের মন পুলিশ  পুলিশ!!  রাজনীতিতে নেতারা যা বলে তার বিপরীতে চলে।  নোয়াখাইল্লা চোরটারে সন্দেহ  হয়!!,চুন্নির মন পুলিশ পুলিশ!! রাজনীতিতে নেত্রীরা যা বলে তার বিপরীতে চলে ।  নোয়াখাইল্লা চুন্নিটারে সন্দেহ হয়!!,1,1,1,1
মাঙ্গের নাতি,মাঙ্গের নাতনি,1,1,1,1
মাসুম ভাই ঐ ভারতীয় খানকির পুলাগোর লগে কোন ভাল ব্যবহার নাই মাগির পুতেরা ভালো ব্যবহার পাওয়ার যোগ্য নয়,ফারহানা  আফা ঐ ভারতীয় খানকির মাইয়াগোর লগে কোন ভাল ব্যবহার নাই মাইগ্যার মাইয়ারা ভালো ব্যবহার পাওয়ার যোগ্য নয়,1,1,1,1
মাসুম ভাই ঐ ভারতীয় খানকির পুলাগোর লগে কোন ভাল ব্যবহার নাই মাগির পুতেরা ভালো ব্যবহার পাওয়ার যোগ্য নয়,আদৃতা  ভাবী ঐ ভারতীয় খানকির মাইয়্যাগোর লগে কোন ভাল ব্যবহার নাই মাইগ্যার মাইয়ারা ভালো ব্যবহার পাওয়ার যোগ্য নয়,1,1,1,1
রানুর মতো ফালতু ছেলে নায় ওর নাম নিলে বুমি আসে চড়ের বাপের বড় গলা,রানুর মতো ফালতু মেয়ে নায় ওর নাম নিলে বুমি আসে চড়ের মায়ের বড় গলা,1,1,1,1
মনে হয় হেতের বাপে হেতের মায়ের পর্দা ফাটানি না লাগানি আগে দেইখা নিয়াই বিয়াত বইছিলো।,মনে হয় হেতের মায়ে হেতের বাবার পর্দা ফাটানি না লাগানি আগে দেইখা নিয়াই বিয়াত বইছিলো ।,1,1,1,1
এই সরকার মাশরাফি কেন সবাইকে গোলাম বানিয়ে ছাড়বে,এই সরকার মাশরাফি কেন সবাইকে বাঁদি বানিয়ে ছাড়বে,1,1,1,1
ওয়াশ থেইকা বাঁচেন মিয়া,ওয়াশ থেইকা বাঁচেন বিবি,1,1,1,1
সালা করোম চোদ তারেক জিয়ার বৌ কি দুরনীতি করছে তার নামে মামলা,সালী করোম চোদ  অর্ক  স্বামী কি দুরনীতি করছে তার নামে মামলা,1,1,1,1
আপনি আবাল নাকি মিঞা ?,আপনি আবালনি নাকি বিবি?,1,1,1,1
হিন্দু ভাই টা গো মোত খেয়ে আসছে । হিন্দু ভাই দের লজ্জা খুব কম,হিন্দু বোন টা গো মোত খেয়ে আসছে  ।  হিন্দু বোন দের লজ্জা খুব কম,1,1,1,1
শালা ভারতে কোচ হওয়ার জন্য পাগল হয়ে গেছে। শালা বেজম্মা।,শালী ভারতে কোচ হওয়ার জন্য পাগলিনী হয়ে গেছে ।  শালী বেজম্মা ।,1,1,1,1
পূজার ধর্ষকের ফাসি চাই সকল নর নির্যাতনের বিচার চাই সংখ্যালঘুদের উপর ধর্ম অবমাননার মিথ্যা গুজব রটিয়ে নির্যাতনের সঠিক বিচার চাই ।  হিন্দুদের নিরাপত্তা চাই ।  উগ্র মৌলবাদ বন্ধের দাবি জানাই যারা বাংলাদেশের সাম্প্রদায়িক দাঙ্গা লাগিয়েছে সেই সকল মুসলমানদের বিচার ও ফাসি চাই ।,পূজার ধর্ষকের ফাসি চাই সকল নারী নির্যাতনের বিচার চাই সংখ্যালঘুদের উপর ধর্ম অবমাননার মিথ্যা গুজব রটিয়ে নির্যাতনের সঠিক বিচার চাই। হিন্দুদের নিরাপত্তা চাই। উগ্র মৌলবাদ বন্ধের দাবি জানাই যারা বাংলাদেশের সাম্প্রদায়িক দাঙ্গা লাগিয়েছে সেই সকল মুসলমানদের বিচার ও ফাসি চাই। ,1,1,1,1
দুর্নীতিবাজ পুলিশ দিয়ে অভিযানের নামে সাধারণ মানুষকেই হয়রানি করা হবে,দুর্নীতিবাজ মহিলা পুলিশ দিয়ে অভিযানের নামে সাধারণ মানুষকেই হয়রানি করা হবে,1,1,1,1
দূর্গা বাপ কে তখন সেই মুসলি আলী জোরে জোরে চুদতে লাগলো,দূর্গা মা কে তখন সেই মুসলি আলী জোরে জোরে চুদতে লাগলো,1,1,1,1
তারেক চোরাকে দেশে ফিরানোর মত জোড় এখন স্বাধীনতা বিরোধী রাজাকারদের আছে বলেতো মনে হয় না কারণ দেশের মানুষের কাছে তাদের মুখোশতো খুলে গেছে যে তার বাপ ছিল পাকিদের বাংলাদেশী এজেন্ট,তারেক চুন্নিকে দেশে ফিরানোর মত জোড় এখন স্বাধীনতা বিরোধী রাজাকারদের আছে বলেতো মনে হয় না কারণ দেশের মানুষের কাছে তাদের মুখোশতো খুলে গেছে যে তার মা ছিল পাকিদের বাংলাদেশী এজেন্ট,1,1,1,1
ছোটবেলায় বুড়ো ছিলো এই মানব,ছোটবেলায় বুড়ি ছিলো এই মানবী,1,1,1,1
"আজব রাজার অবাক দেশ- উন্নয়নে চলছে বেশ, শহিদুলের কথা মানতে পায় ব্যথা, প্রিয়ার দেওয়া দেশকে ব্যাথাহয়ে যায় অন্য বা অন্যান্য কথা। মিন্নি মেয়েটি পায়না উকিলপ্রিয়ার দেশদ্রোহে মামলাই নেয় না, কি হবে গো উকিল?বাঁচাতে গিযে স্বামীকে মিন্নি হয়ে গেলো ভিলেন গিন্নী। ফাঁসিয়ে দিয়ে দেশকে প্রিয়া দিদিহবেন হয়তো দেশপ্রেমী মমতা দিদি।","আজব রাজার অবাক দেশ- উন্ নয়ন ে চলছে বেশ ,  শহিদুলের কথা মানতে পায় ব্যথা ,  প্রিয়ার দেওয়া দেশকে ব্যাথাহয়ে যায় অন্য বা অন্যান্য কথা ।   তাহমিদ  ছেলেটি পায়না উকিলপ্রিয়ার দেশদ্রোহে মামলাই নেয় না ,  কি হবে গো উকিল?বাঁচাতে গিযে স্ত্রীকে  তাহমিদ  হয়ে গেলো ভিলেন কর্তা ।  ফাঁসিয়ে দিয়ে দেশকে প্রিয় দাদাহবেন হয়তো দেশপ্রেমী  মাসুদ  দাদা । ",1,1,1,1
নিজেদের মৌলিক গানগুলোর হোগা মেরে নিজেকে লিজেন্ড ভাবা লোক ইনি,নিজেদের মৌলিক গানগুলোর হোগা মেরে নিজেকে লিজেন্ড ভাবা মহিলা ইনি,1,1,1,1
"লোক মুখে শুনতাম, ভিখারি ধনি হলে, অভ্যাসটা ভিখারির মতোই থেকে যায় রানু দি তার বাস্তব উদাহরন ","স্ত্রীলোক মুখে শুনতাম ,  ভিখারি ধনি হলে ,  অভ্যাসটা ভিখারির মতোই থেকে যায়  রামকুমার  দা তার বাস্তব উদাহরন",1,1,1,1
"লোক মুখে শুনতাম, ভিখারি ধনি হলে, অভ্যাসটা ভিখারির মতোই থেকে যায় রানু দি তার বাস্তব উদাহরন ","মহিলা মুখে শুনতাম ,  ভিখারি ধনি হলে ,  অভ্যাসটা ভিখারির মতোই থেকে যায়  নিলয়  দা তার বাস্তব উদাহরন",1,1,1,1
তর জন্ম কোথায় হইছে পতিতালয়ে নাকি বস্তি পাড়ায়। জারজের বাচ্চা তর বাবা কয়টা তর মায়ের কাছে উত্তরটা জানবি। তোকে জারজ বললেও জারজ কে অপমান করা হবে তুই একটা নিকৃষ্ট জানোয়ারের বাচ্চা। নিকৃষ্ট দেশের নিকৃষ্ট জাতি মালাউনরা।,তর জন্ম কোথায় হইছে পতিতালয়ে নাকি বস্তি পাড়ায় ।  জারজের বাচ্চা তর মা কয়টা তর বাবার কাছে উত্তরটা জানবি ।  তোকে জারজ বললেও জারজ কে অপমান করা হবে তুই একটা নিকৃষ্ট জানোয়ারের বাচ্চা ।  নিকৃষ্ট দেশের নিকৃষ্ট জাতি মালাউনরা ।,1,1,1,1
তর জন্ম কোথায় হইছে পতিতালয়ে নাকি বস্তি পাড়ায়। জারজের বাচ্চা তর বাবা কয়টা তর মায়ের কাছে উত্তরটা জানবি। তোকে জারজ বললেও জারজ কে অপমান করা হবে তুই একটা নিকৃষ্ট জানোয়ারের বাচ্চা। নিকৃষ্ট দেশের নিকৃষ্ট জাতি মালাউনরা।,তর জন্ম কোথায় হইছে পতিতালয়ে নাকি বস্তি পাড়ায় ।  জারজের বাচ্চা তর মা কয়টা তর বাপের কাছে উত্তরটা জানবি ।  তোকে জারজ বললেও জারজ কে অপমান করা হবে তুই একটা নিকৃষ্ট জানোয়ারের বাচ্চা ।  নিকৃষ্ট দেশের নিকৃষ্ট জাতি মালাউনরা ।,1,1,1,1
শালার পুতেরা মুসলমান কে বলে জংলী ।তোর বাপ মালাউনের বাচ্চা মরলে জংলী বলছ কেন ।।,শালীর মাইয়ারা মুসলমান কে বলে জংলী  । তোর মা মালাউনের বাচ্চা মরলে জংলী বলছ কেন  ।  ।,1,1,1,1
বাংলাদেশই হয়ত এক মাত্র দেশ পৃথিবীতে যেখানে গণতন্ত্রের নামে পরিবারতন্ত্রের রাজত্বে পরিণত হয়েছে এবং সম্ভবত দেশের মানুষও সেটাকে গ্রহন করে নিয়েছে। অনেকটা যেন প্রতিষ্ঠানিক রূপ দিয়ে দিয়েছে। কেননা দেশে যে বৃহত্তর দুটি দল দেশের রাজনীতি পরিচালনা করে তার একটি চলে স্বাধীনতার স্থপতি বঙ্গবন্ধু শেখ মুজিবুর রহমানের মেয়ে শেখ হাছিনার নেতৃত্বে এবং অন্যটি চলে স্বাধীনতার ঘোষক জেনারেল জিয়ার স্ত্রী বেগম খালেদা জিয়ার নেতৃত্বে। বাংলাদেশের রাজনিতীতে এরাই হচ্ছেন প্রধান ফ্যক্টর। দেখা যাচ্ছে ভবিষ্যতে এ ধারাই চলতে থাকবে।,বাংলাদেশই হয়ত এক মাত্র দেশ পৃথিবীতে যেখানে গণতন্ত্রের নামে পরিবারতন্ত্রের রাজত্বে পরিণত হয়েছে এবং সম্ভবত দেশের মানুষও সেটাকে গ্রহন করে নিয়েছে ।  অনেকটা যেন প্রতিষ্ঠানিক রূপ দিয়ে দিয়েছে ।  কেননা দেশে যে বৃহত্তর দুটি দল দেশের রাজনীতি পরিচালনা করে তার একটি চলে স্বাধীনতার স্থপতি বঙ্গবন্ধু  আসির  ছেলে  আব্দুল্লাহ  নেতৃত্বে এবং অন্যটি চলে স্বাধীনতার ঘোষক জেনারেল  সাদমান  স্বামী বেগম খালেদা  সাদমান  নেতৃত্বে ।  বাংলাদেশের রাজনিতীতে এরাই হচ্ছেন প্রধান ফ্যক্টর ।  দেখা যাচ্ছে ভবিষ্যতে এ ধারাই চলতে থাকবে ।,1,1,1,1
"আফাঢারে কেউ বুঝাও যে তার চেহারা দেখে তার জামাই ভয় পেয়ে যায়, সেজন্য তার যৌবনের জ্বালা মিটাতে এসেও ভয়ে স্বামী পালিয়ে যায়","ভাইঢারে কেউ বুঝাও যে তার চেহারা দেখে তার বউ ভয় পেয়ে যায় ,  সেজন্য তার যৌবনের জ্বালা মিটাতে এসেও ভয়ে স্ত্রী পালিয়ে যায়",1,1,1,1
স্যার আপনার হাঁসিতে জাদু আছে,ম্যাডাম আপনার হাঁসিতে জাদু আছে,1,1,1,1
দাদা রানু মন্ডলের অহংকার বেড়েছে তাই তার পতন নিজেই ডেকে আনবেন দাদা,দিদি  অমৃতা  অহংকার বেড়েছে তাই তার পতন নিজেই ডেকে আনবেন দিদি,1,1,1,1
"আমবাগানে ইটের ভাটা
খানকিরপোলা তোর পুটকি ফাটা

বন্ধু তুমি শুধু খালি খানকির
পুলা না,,,,,,
এতো বকুন চুদাই তুমি শুধরাইলানা।।","আমবাগানে ইটের ভাটা খানকিরমাইয়্যা তোর পুটকি ফাটা বন্ধুপত্নী তুমি শুধু খালি খানকির মাইয়্যা না ,  ,  ,  ,  ,  ,  এতো বকুন চুদাই তুমি শুধরাইলানা ।  । ",1,1,1,1
বংলাদেশে রোহিঙ্গার পক্ষ এই প্রথম আন্দোলন শিবির কিন্তু বাধা দিল অত্যাচারী জুলুমকারী সরকারের সন্ত্রাস পুলিশ বাহিনী ।।,বংলাদেশে রোহিঙ্গার পক্ষ এই প্রথম আন্দোলন  শিব ির কিন্তু বাধা দিল অত্যাচারী জুলুমকারী সরকারের  সন্ত ্রাস মহিলা পুলিশ বাহিনী  ।  ।,1,1,1,1
পোলা মানুষ দেখলে হুশ থাকে না?,মাইয়া মানুষ দেখলে হুশ থাকে না?,1,1,1,1
বাহ ভাই তুই পারস ও এমন ভাবে চদা খেতে যা বাজারের মাগিরাও পারেনা।।  ,বাহ আফা তুই পারস ও এমন ভাবে চদা খেতে যা বাজারের মাইগ্যারাও পারেনা ।  । ,1,1,1,1
বাহ ভাই তুই পারস ও এমন ভাবে চদা খেতে যা বাজারের মাগিরাও পারেনা।।,বাহ বোন তুই পারস ও এমন ভাবে চদা খেতে যা বাজারের মাইগ্যারাও পারেনা ।  ।,1,1,1,1
বাহ ভাই তুই পারস ও এমন ভাবে চদা খেতে যা বাজারের মাগিরাও পারেনা।।,বাহ ভাবী তুই পারস ও এমন ভাবে চদা খেতে যা বাজারের মাইগ্যারাও পারেনা ।  ।,1,1,1,1
এটা দেখার পর দেড় মাস পাগল আছিলাম,এটা দেখার পর দেড় মাস পাগলিনী আছিলাম,1,1,1,1
পার্থ হচ্ছে একজন চোরের ছেলে চোর ।,পার্থ হচ্ছে একজন চুন্নির মেয়ে চুন্নি ।,1,1,1,1
গরমের তিব্র সোদনে দেশে থাকা মুশকিল।আর তুমি মিয়া পথে ঘাটে মেয়েদের নিয়ে ডলাডলি করো।বন্ধু তোমাকে হিজড়া দিয়ে কিছুক্ষণ হালকা ব্যায়াম করানো দরকার,গরমের তিব্র সোদনে দেশে থাকা মুশকিল । আর তুমি বিবি পথে ঘাটে ছেলেদের নিয়ে ডলাডলি করো । বান্ধবী তোমাকে হিজড়া দিয়ে কিছুক্ষণ হালকা ব্যায়াম করানো দরকার,1,1,1,1
গরমের তিব্র সোদনে দেশে থাকা মুশকিল।আর তুমি মিয়া পথে ঘাটে মেয়েদের নিয়ে ডলাডলি করো।বন্ধু তোমাকে হিজড়া দিয়ে কিছুক্ষণ হালকা ব্যায়াম করানো দরকার,গরমের তিব্র সোদনে দেশে থাকা মুশকিল । আর তুমি বিবি পথে ঘাটে ছেলেদের নিয়ে ডলাডলি করো । বন্ধুপত্নী তোমাকে হিজড়া দিয়ে কিছুক্ষণ হালকা ব্যায়াম করানো দরকার,1,1,1,1
"ওরে যেখানে পাবেন গুলি করে ফেলবেন , নাস্তিক মেয়ে ...","ওরে যেখানে পাবেন গুলি করে ফেলবেন  ,  নাস্তিক ছেলে  .  .  . ",1,1,1,1
"চোর ধরা পড়েছে ,আরে নাস্তিক হোইছে মেলা কেতাব ঘেটে ,শুধু কুরআন পড়ে না","চুন্নি ধরা পড়েছে  , আরে নাস্তিক হোইছে মেলা কেতাব ঘেটে  , শুধু কুরআন পড়ে না",1,1,1,1
প্রত্যেকটা মন্দির বেস্যাঘড় আর বেস্যা হলো তোদের মা বোনরা আর তোদের মাকরশা দেবী দুর্গা সেক্সি স্বরসতি আর আফ্রিকান নিগ্রো দেবী কালি।,প্রত্যেকটা মন্দির বেস্যাঘড় আর বেস্যা হলো তোদের বাবা ভাইরা আর তোদের মাকরশা দেবতা  দুর্গা  সেক্সি স্বরসতি আর আফ্রিকান নিগ্রো দেবতা কালি ।,1,1,1,1
বারো ভাতারি ছেলেরা যেভাবে দই খায়,বারো ভাতারি মেয়েরা যেভাবে দই খায়,1,1,1,1
"শুনলাম উনার বাসা নাকি।

ভোদা উপজেলা আজ্ঞুল দিয়া গ্রামে?

এম আই রাইট চোত্তমারানী পোলা বচ আমার আরিফফা নটির পোলা।",শুনলাম উনার বাসা নাকি ।  ভোদা উপজেলা আজ্ঞুল দিয়া গ্রামে? এম আই রাইট চোত্তমারানী মাইয়া বচ আমার আরিফফা নটের মাইয়া ।,1,1,1,1
পরের সাহায্যে পাওয়া স্বাধীনতাকে স্বাধীনতা বলে না। কাংলাদেশ স্বাধীন হয়েছে কোথায়? এটা তো ভারতের চরম ভুল যে দুনিয়ার সবচেয়ে ওঁচা জাতিকে সাহায্য করেছিল যারা তাদের মা বোনদের ধর্ষণকারীকে সমর্থন করে। আর সাহায্যকারী বন্ধু দেশকে গালিগালাজ করে। নির্লজ্জের মত বিরোধিতা করে।,পরের সাহায্যে পাওয়া স্বাধীনতাকে স্বাধীনতা বলে না ।  কাংলাদেশ স্বাধীন হয়েছে কোথায়? এটা তো ভারতের চরম ভুল যে দুনিয়ার সবচেয়ে ওঁচা জাতিকে সাহায্য করেছিল যারা তাদের বাপ ভাইদের ধর্ষণকারীকে সমর্থন করে ।  আর সাহায্যকারী বন্ধু দেশকে গালিগালাজ করে ।  নির্লজ্জের মত বিরোধিতা করে ।,1,1,1,1
পরের সাহায্যে পাওয়া স্বাধীনতাকে স্বাধীনতা বলে না। কাংলাদেশ স্বাধীন হয়েছে কোথায়? এটা তো ভারতের চরম ভুল যে দুনিয়ার সবচেয়ে ওঁচা জাতিকে সাহায্য করেছিল যারা তাদের মা বোনদের ধর্ষণকারীকে সমর্থন করে। আর সাহায্যকারী বন্ধু দেশকে গালিগালাজ করে। নির্লজ্জের মত বিরোধিতা করে।,পরের সাহায্যে পাওয়া স্বাধীনতাকে স্বাধীনতা বলে না ।  কাংলাদেশ স্বাধীন হয়েছে কোথায়? এটা তো ভারতের চরম ভুল যে দুনিয়ার সবচেয়ে ওঁচা জাতিকে সাহায্য করেছিল যারা তাদের বাবা ভাইদের ধর্ষণকারীকে সমর্থন করে ।  আর সাহায্যকারী বন্ধু দেশকে গালিগালাজ করে ।  নির্লজ্জের মত বিরোধিতা করে ।,1,1,1,1
"ভাই নামাস না কিন্তু, এ শালা পাশের পাড়ার কালুয়া হেব্বি খচ্চর মাল ","ভাবী নামাস না কিন্তু ,  এ শালী পাশের পাড়ার কালুয়া হেব্বি খচ্চর মাল",1,1,1,1
দেশের তরে যদি একবার চুদমি মাইগ্যা ভাবী,দেশের তরে যদি একবার চুদমি মাগি ভাই   ,1,1,1,1
জামাই যদি বাচ্চা হয় তবে জামাই কে দুদু খাওয়া,বৌমা যদি বাচ্চা হয় তবে বৌমা কে দুদু খাওয়া,1,1,1,1
তোমরা কেউ কি আবাল দেখতে চাও তাহলে আর দেরি নয়......আজই চলে আসো আবালের আইড়ি তে,তোমরা কেউ কি আবালনি দেখতে চাও তাহলে আর দেরি নয় .  .  .  .  .  . আজই চলে আসো আবালনীর আইড়ি তে,1,1,0,0
ভাই কারো সাথে ডিবেট করতে হলে তার শিক্ষাগত যোগ্যতা ভাল করে জেনেনিন  কারন  মূৃখ্ সাথে ডিবেট ইসলামে নিষেধ করা হয়েছে।,বোন কারো সাথে ডিবেট করতে হলে তার শিক্ষাগত যোগ্যতা ভাল করে জেনেনিন কারন মূৃখ্ সাথে ডিবেট ইসলামে নিষেধ করা হয়েছে ।,1,1,1,1
সাকিব টাকা উড়ায় । সাকিব ফালতু টাকা খরচ করে । সাকিব বিদেশে যায় মার্কেটিং করতে । সাকিব বউয়ের জন্য দামী পোষাক কেনে । সাকিব এসি বাথরুমে বাথরুম করে । সাকিব ভালো না ।,সাকিব টাকা উড়ায়  ।  সাকিব ফালতু টাকা খরচ করে  ।  সাকিব বিদেশে যায় মার্কেটিং করতে  ।  সাকিব বরের জন্য দামী পোষাক কেনে  ।  সাকিব এসি বাথরুমে বাথরুম করে  ।  সাকিব ভালো না  ।,1,1,1,1
মাইগ্যা রা তোরে পাইলে তোর বাপের আর তোর সোনা একসাতে খাইতাম ৷,মাগি রা তোরে পাইলে তোর মার আর তোর সোনা একসাতে খাইতাম ৷,1,1,1,1
তোমাকে কুকুর দিয়া চোদাতে হবে মাগি।,তোমাকে কুকুরী দিয়া চোদাতে হবে মাইগ্যা ।,1,1,1,1
তেতুল হুজুর বৌয়ের যোনি চুসে বুঝলো যে টক।,তেতুল হুজুরাইন জামাইয়ের যোনি চুসে বুঝলো যে টক ।,1,1,1,1
"ভাই সোদোইয়ো না পুটকি ভরা বাল নিয়ে
ভং ধরে লাব নাই",ভাবী সোদোইয়ো না পুটকি ভরা বাল নিয়ে ভং ধরে লাব নাই,1,1,1,1
আমি বলবো হিরো আলমের জুতার সমান নেই জায়েদ নামের সেই আবাল টার,আমি বলবো  অর্ক  জুতার সমান নেই জায়েদ নামের সেই আবালনি টার,1,1,1,1
দাদা কি খেলে এসেছেন? ২০০-১৫০ রেট তো বেশি ছিলোনা,বৌদি কি খেলে এসেছেন? ২০০-১৫০ রেট তো বেশি ছিলোনা,1,1,1,1
নারী সরকার চাইনা আওয়ামী লীগ-বিএনপি চাইনা চাই একজন সত্তিকারের নেতা জাকির নায়েকের মত,নর সরকার চাইনা আওয়ামী লীগ-বিএনপি চাইনা চাই একজন সত্তিকারের নেত্রী  সাবিত্রী  মত,1,1,1,1
