male,female,_original_label,test,male_prediction,female_prediction
ভাই ইন্ডিয়া তে গেলে সবাই মোটা হয়ে যায় আমিও চিকনা ছিলাম । দিয়ে ছোটতে টানা তিন মাস ইন্ডিয়ায় থাকা লেগেছিল একবার । এসে আর কেউ চিনতে পারেনি এক দুই কেজির বাচ্চা তিন শূন্য কেজি হয়ে গেছিল,বোন ইন্ডিয়া তে গেলে সবাই মোটা হয়ে যায় আমিও চিকনা ছিলাম  ।  দিয়ে ছোটতে টানা তিন মাস ইন্ডিয়ায় থাকা লেগেছিল একবার  ।  এসে আর কেউ চিনতে পারেনি এক দুই কেজির বাচ্চা তিন শূন্য কেজি হয়ে গেছিল,1,1,0,0
না মানে বলছিলাম যে সানি নামের ছেলেকে বিয়ে করলেই কি পাইলট হওয়া কনফার্ম ?,না মানে বলছিলাম যে সানিয়া নামের মেয়েকে বিয়ে করলেই কি পাইলট হওয়া কনফার্ম ?,1,1,0,0
সুপারহিরো কিন্তুু সাপ হঠাৎ ছোবল মারবে,সুপারহিরোইন কিন্তুু সাপিনী হঠাৎ ছোবল মারবে,1,1,0,0
শুধু ছোট ছোট ড্রেস পড়ে শরীর দেখিয়ে পিক আপলোড দিলেই ভাল মানের সেলিব্রেটি বা নায়ক হওয়া যায় না ভাই মুভিতে তো আবালনি আর ক্ষেত মার্কা অভিনয় করেন ।,শুধু ছোট ছোট ড্রেস পড়ে শরীর দেখিয়ে পিক আপলোড দিলেই ভাল মানের সেলিব্রেটি বা নায়িকা হওয়া যায় না আফা মুভিতে তো আবাল আর ক্ষেত মার্কা অভিনয় করেন  ।,1,1,0,0
সর্বোচ্চ ক্যাচ ও স্ট্যাম্পিং মিস করা উইকেট রক্ষক মুশফিক ! প্রতিপক্ষের উইকেট রক্ষায় সে অবশ্যই সর্বশ্রেষ্ঠ !,সর্বোচ্চ ক্যাচ ও স্ট্যাম্পিং মিস করা উইকেট রক্ষিণী  ফারহানা  ! প্রতিপক্ষের উইকেট রক্ষায় সে অবশ্যই সর্বশ্রেষ্ঠা !,1,1,0,0
তো কাশ্মীর যখন ভারতের সাথে গেছে তখন কাশ্মীরের রাজা কে ছিলো সে ইতিহাস টা একটু বলেন শুনি ?,তো কাশ্মীর যখন ভারতের সাথে গেছে তখন কাশ্মীরের রানী কে ছিলো সে ইতিহাস টা একটু বলেন শুনি ?,1,1,0,0
তোরা স্বপ্ন দেখতে থাক তোদের মাঠে তোদের উল্টো করে সেকে এসছি এশিয়া কাপে । এবার আমাদের মাঠে পরের ম্যাচ এ উল্টে পাল্টে সেকে বাড়ি পাঠিয়ে দেবো । মেরা ভারত মহান । জিতেগা ভাই জিতেগা মেরা ভারত জিতেগা । মা তুঝে সালাম । জয় হিন্দ ।,তোরা স্বপ্ন দেখতে থাক তোদের মাঠে তোদের উল্টো করে সেকে এসছি এশিয়া কাপে  ।  এবার আমাদের মাঠে পরের ম্যাচ এ উল্টে পাল্টে সেকে বাড়ি পাঠিয়ে দেবো  ।  মেরা ভারত মহান  ।  জিতেগা বোন জিতেগা মেরা ভারত জিতেগা  ।  বাপ তুঝে সালাম  ।  জয় হিন্দ  ।,1,1,0,0
তুমি ভাই বাংলাদেশের গর্ভ অনেক বড় মাপের একজন বুদ্ধিজীবী ।,তুমি আফা বাংলাদেশের গর্ভ অনেক বড় মাপের একজন বুদ্ধিজীবী  ।,1,1,0,0
ভাই কি চোখে ম্যাজিক চশমা লাগাইয়া দিল ।,আফা কি চোখে ম্যাজিক চশমা লাগাইয়া দিল  ।,1,1,0,0
চোখে কি কাজল ইউজ করসেন ভাই ?,চোখে কি কাজল ইউজ করসেন বোন ?,1,1,0,0
দেব আর কি কি বলছেন ভাইয়া জানালে আপনার নিকট কৃতজ্ঞ থাকিব । ইতি আপনার পেইজ ফলোকারী একান্ত অনুগত ও বাধ্যগত ।,দেবী আর কি কি বলছেন আপু জানালে আপনার নিকট কৃতজ্ঞ থাকিব  ।  ইতি আপনার পেইজ ফলোকারী একান্ত অনুগত ও বাধ্যগত  ।,1,1,0,0
ভাই আগামী একবছর আপনার ব্যস্ততা কম তবুও শিশিরে বেশী ভিজবেন না শেষে সর্দি জ্বর বাধিয়ে বসবেন । একটি সতর্কতা মূলক কমেন্ট করলাম আরকি ।,ভাবী আগামী একবছর আপনার ব্যস্ততা কম তবুও শিশিরে বেশী ভিজবেন না শেষে সর্দি জ্বর বাধিয়ে বসবেন  ।  একটি সতর্কতা মূলক কমেন্ট করলাম আরকি  ।,1,1,0,0
না পারলে কি আর নায়ক এমনি এমনি বানাইছেন,না পারলে কি আর নায়িকা এমনি এমনি বানাইছেন,1,1,0,0
আরে পাশের টা কি বস্তির ছেলে পচা ?,আরে পাশের টা কি বস্তির মেয়ে পচা ?,1,1,0,0
শিল্পী মডেল রাজনীতিবিদ সম্মিলিত জাতীয়লীগ গতকাল আফগানিস্তানের সাথে শোচনীয়ভাবে হেরেছে । সেজন্যই আসুন দুই মিনিট নিরবতা পালন করি ।,নারী শিল্পী মডেল রাজনীতিবিদ সম্মিলিত জাতীয়লীগ গতকাল আফগানিস্তানের সাথে শোচনীয়ভাবে হেরেছে  ।  সেজন্যই আসুন দুই মিনিট নিরবতা পালন করি  ।,1,1,0,0
ভাই এত টাকা ইনকাম করেও কোন লাভ হয় নাই । দুইটা পরটার সাথে মাত্র এক পিস মাংস !,আফা এত টাকা ইনকাম করেও কোন লাভ হয় নাই  ।  দুইটা পরটার সাথে মাত্র এক পিস মাংস !,1,1,0,0
সব পিক গুলাই ঠিকঠাক জ্বীনের মতই ছিল খালি এইটা ক্যামন জানি কামের ব্যাটা টাইপ হয়ে গেছে,সব পিক গুলাই ঠিকঠাক পরীর মতই ছিল খালি এইটা ক্যামন জানি কামের বেটি টাইপ হয়ে গেছে,1,1,0,0
পরিচালক কে নোবেল দেয়া উচিত ।,পরিচালিকা কে নোবেল দেয়া উচিত  ।,1,1,0,0
ভাই ফুলইস্টপ খুইল্লালান ।,বোন ফুলইস্টপ খুইল্লালান  ।,1,1,0,0
ভাই ফুলইস্টপ খুইল্লালান ।,ভাবী ফুলইস্টপ খুইল্লালান  ।,1,1,0,0
আতিক ভাই মনে হয় শরবত বানায় না প্রতিদিন এই টাইমে পোস্ট দেয়,সরলা  আফা মনে হয় শরবত বানায় না প্রতিদিন এই টাইমে পোস্ট দেয়,1,1,0,0
বেচারা পাঁচশো টাকা নিয়ে শপিং করতে গেছে পাঁচশো টাকা জরিমানা খাইছে ।,বেচারি পাঁচশো টাকা নিয়ে শপিং করতে গেছে পাঁচশো টাকা জরিমানা খাইছে  ।,1,1,0,0
আরে ভাই তাড়াতাড়ি যা করার কর আর সিরিয়ালটা শেষ কর বাড়িতে টিভি দেখতে পাইনা তোদের জন্য,আরে আফা তাড়াতাড়ি যা করার কর আর সিরিয়ালটা শেষ কর বাড়িতে টিভি দেখতে পাইনা তোদের জন্য,1,1,0,0
ইম্রুল ব্রো নিঃশ্বাস আটকায় কত কষ্ট করে পেট টা চিমাই রাখছে আমার ব্রো সব খানেই খুব কষ্ট করে শুধু মাঠেই না ঘাটেও !,দময়ন্তী  সিস নিঃশ্বাস আটকায় কত কষ্ট করে পেট টা চিমাই রাখছে আমার সিস সব খানেই খুব কষ্ট করে শুধু মাঠেই না ঘাটেও !,1,1,0,0
ঠিক গাঁজা বাবার মতো লাগছে,ঠিক গাঁজা মায়ের মতো লাগছে,1,1,0,0
এর বিতরে ও জুদি আপনি বোঝে ফেলেন তাহলে বিশ্বাস করেন ভাই আপনি বরবাত হয়ে গেছেন,এর বিতরে ও জুদি আপনি বোঝে ফেলেন তাহলে বিশ্বাস করেন ভাবী আপনি বরবাত হয়ে গেছেন,1,1,0,0
জোকার কাকু জোকার পয়দা করে গেছে,জোকার কাকী জোকার পয়দা করে গেছে,1,1,0,0
মানুষ সনাক্ত হয়ে সয়লাভ আর সিংহ,মানুষ সনাক্ত হয়ে সয়লাভ আর সিংহী,1,1,0,0
ভাই আর্মি মারা ধরলে হোগার দাড়া ভাংগা পর্যন্ত মারে শুনছিলাম রিভিউ দিবেন ভাই নিশ্চয় !,আফা আর্মি মারা ধরলে হোগার দাড়া ভাংগা পর্যন্ত মারে শুনছিলাম রিভিউ দিবেন আফা নিশ্চয় !,1,1,0,0
ভাই আর্মি মারা ধরলে হোগার দাড়া ভাংগা পর্যন্ত মারে শুনছিলাম রিভিউ দিবেন ভাই নিশ্চয় !,বোন আর্মি মারা ধরলে হোগার দাড়া ভাংগা পর্যন্ত মারে শুনছিলাম রিভিউ দিবেন বোন নিশ্চয় !,1,1,0,0
হ্যাঁ বাবা হয়েছে নোবেল কিন্তু মা হয়নি কেউ,হ্যাঁ মা হয়েছে নোবেল কিন্তু বাবা হয়নি কেউ,1,1,0,0
শালার বেটাকে বাটাম দেওয়া হোক !,শালীর বেটিকে বাটাম দেওয়া হোক !,1,1,0,0
চোরের বাবার বড় গলা কথাটা ছোট বেলায় অসংখ্য বার পড়ছি কিন্তু চোখে দেখিনি তাই আফসোস ছিল । সেই আফসোস আল্লাহ দূর করতে এখন প্রতিদিন চোখে দেখাচ্ছে ।,চুন্নির মায়ের বড় গলা কথাটা ছোট বেলায় অসংখ্য বার পড়ছি কিন্তু চোখে দেখিনি তাই আফসোস ছিল  ।  সেই আফসোস আল্লাহ দূর করতে এখন প্রতিদিন চোখে দেখাচ্ছে  ।,1,1,0,0
জনি সিন্সের খালাত ভাই লাগতেছে,জনি সিন্সের খালাত আফা লাগতেছে,1,1,0,0
এখন থেকে যে পরিবারে বহুদিন ধরে অসুস্থ রোগী আছে তার পরিবার টানতে টানতে ক্লান্ত হেয়ে গেছেন সেই রোগীর সুস্থতা ও পরিবারের সেবাদানকারীদের মধ্যে এ্যানার্জি আনায়নে নাচের ব্যবস্থা করতে পারেন ।,এখন থেকে যে পরিবারে বহুদিন ধরে অসুস্থ রোগিণী আছে তার পরিবার টানতে টানতে ক্লান্ত হেয়ে গেছেন সেই রোগিনীর সুস্থতা ও পরিবারের সেবাদানকারীদের মধ্যে এ্যানার্জি আনায়নে নাচের ব্যবস্থা করতে পারেন  ।,1,1,0,0
ভাই আমার একটা লিনোভো আছে এভরি পেড জাপান থেকে এনেছিলাম একন আন হয় ফেকটরি সফটওয়্যার নেয় না আনেক কে দেখিয়েচি পরেনি এটা কি করা সম্ভব ?,ভাবী আমার একটা লিনোভো আছে এভরি পেড জাপান থেকে এনেছিলাম একন আন হয় ফেকটরি সফটওয়্যার নেয় না আনেক কে দেখিয়েচি পরেনি এটা কি করা সম্ভব ?,1,1,0,0
অবশেষে নিজের সঠিক সহচরী খুঁজে পেলেন মাইনুল আহসান নোবেল ! বালের কণ্ঠ ।,অবশেষে নিজের সঠিক সহচর খুঁজে পেলেন মাইনুল আহসান নোবেল ! বালের কণ্ঠ  ।,1,1,0,0
হাজার বছরের শ্রেষ্ঠ গান । প্রশংসা করার মতো শব্দ খুঁজে পাচ্ছি না । বিয়োন্ড প্রেইঝ । ইনশাল্লাহ এই গানের মাধ্যমে স্যার মাহফুজ বব ডিলানের মতোন গীতিকবিতায় নোবেল পাবেন ।,হাজার বছরের শ্রেষ্ঠ গান  ।  প্রশংসা করার মতো শব্দ খুঁজে পাচ্ছি না  ।  বিয়োন্ড প্রেইঝ  ।  ইনশাল্লাহ এই গানের মাধ্যমে ম্যাডাম  গুলশান  বব ডিলানের মতোন গীতিকবিতায় নোবেল পাবেন  ।,1,1,0,0
গেরামের চাচাতো ভাই যখন প্রথম ঢাকায় আসে,গেরামের চাচাতো ভাবী যখন প্রথম ঢাকায় আসে,1,1,0,0
কাকু আমাদের সব কাকু যেমন বলে তেলনি হবে !,কাকী আমাদের সব কাকী যেমন বলে তেলনি হবে !,1,1,0,0
যেখানে আমি অবিবাহিত সেখানে কাকলী ফার্নিচার থাকাটা বিলাসিতা !,যেখানে আমি অবিবাহিতা সেখানে কাকলী ফার্নিচার থাকাটা বিলাসিতা !,1,1,1,0
পুলিশ ভাই প্লিজ দয়া করে আমাকে জাস্ট এক মিনিট মারার সুযোগ দিন,পুলিশ বোন প্লিজ দয়া করে আমাকে জাস্ট এক মিনিট মারার সুযোগ দিন,1,1,0,0
কি ক্রিকেটার ভাইয়ারা আপনাদের মাথায় কি এমপি মন্ত্রী হওয়ার ভূত ঢুকেছে নাকি ? যদি তাই হয় তাহলে বাইশ গজের জায়গাটা ছেড়ে দিয়ে তাদের দলে এডমিশন নিয়ে রাজনীতিবিদ হয়ে যান !,কি ক্রিকেটার আপুরা আপনাদের মাথায় কি এমপি মন্ত্রী হওয়ার পেত্নী ঢুকেছে নাকি ? যদি তাই হয় তাহলে বাইশ গজের জায়গাটা ছেড়ে দিয়ে তাদের দলে এডমিশন নিয়ে রাজনীতিবিদ হয়ে যান !,1,1,0,0
রাতুল এবং তৃষা করোনার এই সময়ে সুন্দরবনে যাওয়ার জন্য কে দিছে ভিসা । কারণ তোমরা রাজা এবং রানী তোমাদের কিছু হলে আমার চোখ ঝরবে পানি । আমরা প্রিয় নায়িকা পরীমনি দয়া করে সুন্দরবন থেকে ফিরে আসো এখুনি ।,রাতুল এবং তৃষা করোনার এই সময়ে সুন্দরবনে যাওয়ার জন্য কে দিছে ভিসা  ।  কারণ তোমরা রাজা এবং রানী তোমাদের কিছু হলে আমার চোখ ঝরবে পানি  ।  আমরা প্রিয় নায়ক  কামাল  দয়া করে সুন্দরবন থেকে ফিরে আসো এখুনি  ।,1,1,0,0
প্লিজ ভাই এইগুলা বাদ দিয়া জবারে বলেন করোনার ভেক্সিন্টা আবিস্কার করতে । ঘরে বন্দি থাক্তে আর ভাল্লাগেনা ।,প্লিজ আফা এইগুলা বাদ দিয়া জবারে বলেন করোনার ভেক্সিন্টা আবিস্কার করতে  ।  ঘরে বন্দি থাক্তে আর ভাল্লাগেনা  ।,1,1,0,0
ফালতু একটা লোক ওকে রাজহাঁস এর ডিম থ্যারাপি দেয়া হোক ।,ফালতু একটা মহিলা ওকে রাজহাঁস এর ডিম থ্যারাপি দেয়া হোক  ।,1,1,0,0
এখন বিল গেটস ভাই মদ খেয়ে ঘুরে বেড়াবে আর বিরহের স্ট্যাটাস দিবে ।,এখন  নাজনিন  আফা মদ খেয়ে ঘুরে বেড়াবে আর বিরহের স্ট্যাটাস দিবে  ।,1,1,0,0
এখন বিল গেটস ভাই মদ খেয়ে ঘুরে বেড়াবে আর বিরহের স্ট্যাটাস দিবে ।,এখন  সুস্মিতা  ভাবী মদ খেয়ে ঘুরে বেড়াবে আর বিরহের স্ট্যাটাস দিবে  ।,1,1,0,0
ভাবুন তো সিঁদুরটা হবু বউ এর বদলে পাশে দাঁড়িয়ে থাকা শাশুড়ি মায়ের মাথায় পড়ে গেলো !,ভাবুন তো সিঁদুরটা হবু বর এর বদলে পাশে দাঁড়িয়ে থাকা শ্বশুর বাবার মাথায় পড়ে গেলো !,1,1,0,0
হ ভাই সুপার হিট নিউজ । পাবলিক ভিউ তে ডাবল মনেতাইজ এ ডাবল ডলার আসবে,হ আফা সুপার হিট নিউজ  ।  পাবলিক ভিউ তে ডাবল মনেতাইজ এ ডাবল ডলার আসবে,1,1,0,0
যে মেয়েটা ন্যাকা মেরুদন্ডহীন আবীরের ভাইয়ের বৌ করে এনেছেন সেই বৌ টাকেও মহাপরুষ বিয়ে পাগলা আবীরের সাথে বিয়ে দেওয়া হোক ।,যে ছেলেটা ন্যাকা মেরুদন্ডহীন  তপতী  বোনের জামাই করে এনেছেন সেই জামাই টাকেও মহানারী বিয়ে পাগলী  তপতী  সাথে বিয়ে দেওয়া হোক  ।,1,1,0,0
তোমার কেন জ্বলে রে বন্ধু,তোমার কেন জ্বলে রে বন্ধুপত্নী,1,1,0,0
তোমার এই ধরনের ছবি পোস্ট করার জন্য আমরা হাজারো ছেলে ধন্য ।,তোমার এই ধরনের ছবি পোস্ট করার জন্য আমরা হাজারো মেয়ে ধন্য  ।,1,1,0,0
ক্যানো ভাই তখন স্ট্যাটাস দেওয়ার জন্য আপনি জীবিত থাকবেন না ?,ক্যানো আফা তখন স্ট্যাটাস দেওয়ার জন্য আপনি জীবিতা থাকবেন না ?,1,1,0,0
ক্যানো ভাই তখন স্ট্যাটাস দেওয়ার জন্য আপনি জীবিত থাকবেন না ?,ক্যানো ভাবী তখন স্ট্যাটাস দেওয়ার জন্য আপনি জীবিতা থাকবেন না ?,1,1,0,0
নাইন ভাই মুশিকে একটু ডানো খাওয়ালে ম্যাচিউরিটি এসে যাবে,সুনন্দা  বোন নূর জাহান  একটু ডানো খাওয়ালে ম্যাচিউরিটি এসে যাবে,1,1,0,0
শরির ছুঁয়েই পরান জুড়াল মন ছোঁয়ার দরকার নাই এক বইতে সব থাকিলে লাইব্রেরীতে কেন ভাই ।,শরির ছুঁয়েই পরান জুড়াল মন ছোঁয়ার দরকার নাই এক বইতে সব থাকিলে লাইব্রেরীতে কেন আফা  ।,1,1,0,0
সাকিব ভাই মদিনাতে কবে আসলেন । ভাই যদি জানতাম যে আপনি সৌদিআরব মদিনাতে আইছেন তাইলে কসম আল্লাহ্ আমি আপনার সাথে দেখা করতে আসতাম । কারণ আমি সৌদিআরব ইয়ানবু শহুরে আছি । আমার এখান থেকে মদিনা মাত্র দুইশো কি মি । ভাই জান মিছ করলাম ।,দময়ন্তী  আফা মদিনাতে কবে আসলেন  ।  আফা যদি জানতাম যে আপনি সৌদিআরব মদিনাতে আইছেন তাইলে কসম আল্লাহ্ আমি আপনার সাথে দেখা করতে আসতাম  ।  কারণ আমি সৌদিআরব ইয়ানবু শহুরে আছি  ।  আমার এখান থেকে মদিনা মাত্র দুইশো কি মি  ।  আফা জান মিছ করলাম  ।,1,1,0,0
সাকিব ভাই মদিনাতে কবে আসলেন । ভাই যদি জানতাম যে আপনি সৌদিআরব মদিনাতে আইছেন তাইলে কসম আল্লাহ্ আমি আপনার সাথে দেখা করতে আসতাম । কারণ আমি সৌদিআরব ইয়ানবু শহুরে আছি । আমার এখান থেকে মদিনা মাত্র দুইশো কি মি । ভাই জান মিছ করলাম ।,সুস্মিতা  ভাবী মদিনাতে কবে আসলেন  ।  ভাবী যদি জানতাম যে আপনি সৌদিআরব মদিনাতে আইছেন তাইলে কসম আল্লাহ্ আমি আপনার সাথে দেখা করতে আসতাম  ।  কারণ আমি সৌদিআরব ইয়ানবু শহুরে আছি  ।  আমার এখান থেকে মদিনা মাত্র দুইশো কি মি  ।  ভাবী জান মিছ করলাম  ।,1,1,0,0
জিনিস টা দেখে আমি মটেও আশ্চর্য হই নি অনেকদিন আগেই বুঝে গেছি আপ্নারা কতো নির্লজ্জা আর সুবিধাবাদীনী  ।  থাকুন ওই  শীল  বাপের চৌদ্দ গুস্টি নিয়ে  ।  দরকার পরলে সব নাটক শেষ করে দিয়ে প্রত্যেক্টা স্লটে  শীল  বাপ দিয়ে দেবেন  ।  দুই চার ঘন্টা  শীল  বাপ চলবে,জিনিস টা দেখে আমি মটেও আশ্চর্য হই নি অনেকদিন আগেই বুঝে গেছি আপ্নারা কতো নির্লজ্জ আর সুবিধাবাদী । থাকুন ওই জবা মার চৌদ্দ গুস্টি নিয়ে । দরকার পরলে সব নাটক শেষ করে দিয়ে প্রত্যেক্টা স্লটে জবা মা দিয়ে দেবেন । দুই চার ঘন্টা জবা মা চলবে,1,1,0,0
তুমি কি আলিবাবার চল্লিশ চোর দেখছো নাকি ডাকাত কে ডামের ভিতরে গরম তৈল দিয়ে পুরে মেরে পেলেছে । তোমার মত পরী জাতি কে কি ভাবে বোতল বাজার জাত করতে হয় তা সরকারের জানা আচে ।,তুমি কি আলিবাবার চল্লিশ চোর দেখছো নাকি ডাকাত কে ডামের ভিতরে গরম তৈল দিয়ে পুরে মেরে পেলেছে  ।  তোমার মত জ্বিন জাতি কে কি ভাবে বোতল বাজার জাত করতে হয় তা সরকারের জানা আচে  ।,1,1,0,0
এ যে মানবিক ছন্দ দাদা ।,এ যে মানবিক ছন্দ দিদি  ।,1,1,0,0
এ যে মানবিক ছন্দ দাদা ।,এ যে মানবিক ছন্দ দাদী  ।,1,1,0,0
মাথার ঘাম পায়ে ফেলে মেয়েদের ইনবক্সে জানু সোনা মনা বলে খেটে আসা ভাইদের জানাই মে দিবসের শুভেচ্ছা এগিয়ে যান ভাই রাজপথ আপনাদের,মাথার ঘাম পায়ে ফেলে ছেলেদের ইনবক্সে জানু সোনা মনা বলে খেটে আসা বোনদের জানাই মে দিবসের শুভেচ্ছা এগিয়ে যান বোন রাজপথ আপনাদের,1,1,0,0
মাথার ঘাম পায়ে ফেলে মেয়েদের ইনবক্সে জানু সোনা মনা বলে খেটে আসা ভাইদের জানাই মে দিবসের শুভেচ্ছা এগিয়ে যান ভাই রাজপথ আপনাদের,মাথার ঘাম পায়ে ফেলে ছেলেদের ইনবক্সে জানু সোনা মনা বলে খেটে আসা ভাবীদের জানাই মে দিবসের শুভেচ্ছা এগিয়ে যান ভাবী রাজপথ আপনাদের,1,1,0,0
আর যাদের সার্কাসে যোগদান করার ইচ্ছে নেই তাদের হিরো আলম ভাইয়ের ব্র্যান্ডে যোগ দেওয়ার জন্য জোর দাবি জানাচ্ছি,আর যাদের সার্কাসে যোগদান করার ইচ্ছে নেই তাদের  অরিত্র  আফার ব্র্যান্ডে যোগ দেওয়ার জন্য জোর দাবি জানাচ্ছি,1,1,0,0
তাঁদের জন্য ভালোবাসা অবিরাম । এ ধরণের মানুষ আছে বলেই মানুষ নামের এই বুদ্ধিমান প্রাণিটি পৃথিবীতে টিকে আছে ।,তাঁদের জন্য ভালোবাসা অবিরাম  ।  এ ধরণের মানুষ আছে বলেই মানুষ নামের এই বুদ্ধিমতী প্রাণিটি পৃথিবীতে টিকে আছে  ।,1,1,0,0
ভাই আপনি কিছুক্ষণ এর জন্য প্যান্ট খুলে মৌমাছির চাকে ঢিল মেরে গাছে বসে থাকেন,আফা আপনি কিছুক্ষণ এর জন্য প্যান্ট খুলে মৌমাছির চাকে ঢিল মেরে গাছে বসে থাকেন,1,1,0,0
ভাই রে ভাই মানুষ এমন অদ্ভুত প্রানি,ভাবী রে ভাবী মানুষ এমন অদ্ভুত প্রানি,1,1,0,0
ভাই তুমি জদি সত্যিই সাকিব ভাই হও তাহা হলে সারা দিবে আমি তোমার একজন বন্দু বিশ্বাস কর আমি একদিন তোমার সাথে কথা বলিবো আমার মনে ইচ্ছা ভাই,আফা তুমি জদি সত্যিই নূর জাহান  আফা হও তাহা হলে সারা দিবে আমি তোমার একজন বন্দু বিশ্বাস কর আমি একদিন তোমার সাথে কথা বলিবো আমার মনে ইচ্ছা আফা,1,1,0,0
ভাই বাংলাদেশ নামে কোন ক্রিকেট টিম আছে ? শুধু শুধু কেন গুজব ছড়াচ্ছেন ?,আফা বাংলাদেশ নামে কোন ক্রিকেট টিম আছে ? শুধু শুধু কেন গুজব ছড়াচ্ছেন ?,1,1,0,0
এই তিনদিন ঘুমিয়ে কাটিয়ে দে ভাই । গ্যাঞ্জাম করিস না আর ।,এই তিনদিন ঘুমিয়ে কাটিয়ে দে ভাবী  ।  গ্যাঞ্জাম করিস না আর  ।,1,1,0,0
শশুর মশাই আপনার কাছে বিয়ার যৌতুক হিসেবে এবারের ম্যান অপ দি টুর্নামেন্ট পুরষ্কারটা চাই !,শশুর মশাই আপনার কাছে বিয়ার যৌতুক হিসেবে এবারের ওম্যান অপ দা টুর্নামেন্ট পুরষ্কারটা চাই !,1,1,0,0
কি চশমা দিলা ভাই । এক্করে বাংলা সিনামার বিলেনের মতো লাগে ।,কি চশমা দিলা ভাবী  ।  এক্করে বাংলা সিনামার বিলেনের মতো লাগে  ।,1,1,0,0
