male,female,_original_label,test,gm_male,gm_female,Gender and Name Masked,token_masked_pred
হেলো আঙ্কেল আপনার ছেলে চুরির টাকা দান করে কুল হইতে চায়,হেলো আন্টি আপনার মেয়ে চুরির টাকা দান করে কুল হইতে চায়,1,1,হেলো <Gender> আপনার <Gender> চুরির টাকা দান করে কুল হইতে চায়,হেলো <Gender> আপনার <Gender> চুরির টাকা দান করে কুল হইতে চায়,হেলো <Gender> আপনার <Gender> চুরির টাকা দান করে কুল হইতে চায়,1
ফ্ল্যাট দুটোর ভিতরের মাঝখানে দেওয়ালটা ভেঙে কানেক্টিং ফ্ল্যাট করে দেওয়ার দায়িত্বটা প্রথম আলোর সাংবাদিক কে দেয়া হোক । তাহলে আরও ভিতরের খবরটা ভালো ভাবে জানাতে পারবে,ফ্ল্যাট দুটোর ভিতরের মাঝখানে দেওয়ালটা ভেঙে কানেক্টিং ফ্ল্যাট করে দেওয়ার দায়িত্বটা প্রথম আলোর মহিলা সাংবাদিক কে দেয়া হোক  ।  তাহলে আরও ভিতরের খবরটা ভালো ভাবে জানাতে পারবে,1,1,ফ্ল্যাট দুটোর ভিতরের মাঝখানে দেওয়ালটা ভেঙে কানেক্টিং ফ্ল্যাট করে দেওয়ার দায়িত্বটা প্রথম আলোর <Gender> কে দেয়া হোক । তাহলে আরও ভিতরের খবরটা ভালো ভাবে জানাতে পারবে,ফ্ল্যাট দুটোর ভিতরের মাঝখানে দেওয়ালটা ভেঙে কানেক্টিং ফ্ল্যাট করে দেওয়ার দায়িত্বটা প্রথম আলোর <Gender> <Gender> কে দেয়া হোক । তাহলে আরও ভিতরের খবরটা ভালো ভাবে জানাতে পারবে,ফ্ল্যাট দুটোর ভিতরের মাঝখানে দেওয়ালটা ভেঙে কানেক্টিং ফ্ল্যাট করে দেওয়ার দায়িত্বটা প্রথম আলোর <Gender> <Gender> কে দেয়া হোক । তাহলে আরও ভিতরের খবরটা ভালো ভাবে জানাতে পারবে,1
এটা দেখার পর দেড় মাস পাগল আছিলাম,এটা দেখার পর দেড় মাস পাগলী আছিলাম,1,1,এটা দেখার পর দেড় মাস <Gender> আছিলাম,এটা দেখার পর দেড় মাস <Gender> আছিলাম,এটা দেখার পর দেড় মাস <Gender> আছিলাম,1
একটু শেভ করারও টাইম পেল না কি লোম রে ভাই ভালুকের মতো,একটু শেভ করারও টাইম পেল না কি লোম রে আফা ভালুকের মতো,1,1,একটু শেভ করারও টাইম পেল না কি লোম রে <Gender> ভালুকের মতো,একটু শেভ করারও টাইম পেল না কি লোম রে <Gender> ভালুকের মতো,একটু শেভ করারও টাইম পেল না কি লোম রে <Gender> ভালুকের মতো,1
একটু শেভ করারও টাইম পেল না কি লোম রে ভাই ভালুকের মতো,একটু শেভ করারও টাইম পেল না কি লোম রে বোন ভালুকের মতো,1,1,একটু শেভ করারও টাইম পেল না কি লোম রে <Gender> ভালুকের মতো,একটু শেভ করারও টাইম পেল না কি লোম রে <Gender> ভালুকের মতো,একটু শেভ করারও টাইম পেল না কি লোম রে <Gender> ভালুকের মতো,1
তুমি ভাই বাংলাদেশের গর্ভ অনেক বড় মাপের একজন বুদ্ধিজীবী ।,তুমি ভাবী বাংলাদেশের গর্ভ অনেক বড় মাপের একজন বুদ্ধিজীবী  ।,1,1,তুমি <Gender> বাংলাদেশের গর্ভ অনেক বড় মাপের একজন বুদ্ধিজীবী ।,তুমি <Gender> বাংলাদেশের গর্ভ অনেক বড় মাপের একজন বুদ্ধিজীবী ।,তুমি <Gender> বাংলাদেশের গর্ভ অনেক বড় মাপের একজন বুদ্ধিজীবী ।,0
তুমি বোঝ নি । আমি বলি নি । ভাই রে ভাই না বললে কেমনে বুঝবে ?,তুমি বোঝ নি  ।  আমি বলি নি  ।  ভাবী রে ভাবী না বললে কেমনে বুঝবে ?,1,1,তুমি বোঝ নি । আমি বলি নি । <Gender> রে <Gender> না বললে কেমনে বুঝবে ?,তুমি বোঝ নি । আমি বলি নি । <Gender> রে <Gender> না বললে কেমনে বুঝবে ?,তুমি বোঝ নি । আমি বলি নি । <Gender> রে <Gender> না বললে কেমনে বুঝবে ?,1
তা এই চিড় ধরাধরি ঠিক আর কতদিন চলবে । জানতে চাওয়া আমার এই সরল মন ।,তা এই চিড় ধরাধরি ঠিক আর কতদিন চলবে  ।  জানতে চাওয়া আমার এই  সরলা  মন  ।,1,1,তা এই চিড় ধরাধরি ঠিক আর কতদিন চলবে । জানতে চাওয়া আমার এই <Gender> মন ।,তা এই চিড় ধরাধরি ঠিক আর কতদিন চলবে । জানতে চাওয়া আমার এই <Gender> মন ।,তা এই চিড় ধরাধরি ঠিক আর কতদিন চলবে । জানতে চাওয়া আমার এই <Gender> মন ।,1
ও গো কবি তুমি এত বিরক্ত কেন আমাকে কহিতে পারো তোমার কি তাহার পোজ পছন্দ হয় নি,ও গো মহিলা কবি তুমি এত বিরক্ত কেন আমাকে কহিতে পারো তোমার কি তাহার পোজ পছন্দ হয় নি,1,1,ও গো <Gender> তুমি এত বিরক্ত কেন আমাকে কহিতে পারো তোমার কি তাহার পোজ পছন্দ হয় নি,ও গো <Gender> <Gender> তুমি এত বিরক্ত কেন আমাকে কহিতে পারো তোমার কি তাহার পোজ পছন্দ হয় নি,ও গো <Gender> <Gender> তুমি এত বিরক্ত কেন আমাকে কহিতে পারো তোমার কি তাহার পোজ পছন্দ হয় নি,1
আর ঢেলে দেয়ার দায়িত্ব একমাত্র পুরুষের ।,আর ঢেলে দেয়ার দায়িত্ব একমাত্র মহিলার  ।,1,1,আর ঢেলে দেয়ার দায়িত্ব একমাত্র <Gender> ।,আর ঢেলে দেয়ার দায়িত্ব একমাত্র <Gender> ।,আর ঢেলে দেয়ার দায়িত্ব একমাত্র <Gender> ।,1
পরে দেখা গেলো বললেন বাঙ্গির ব্যাবসা । আপনারা মিয়া লোক সুবিধের না ।,পরে দেখা গেলো বললেন বাঙ্গির ব্যাবসা  ।  আপনারা বিবি স্ত্রীলোক সুবিধের না  ।,1,1,পরে দেখা গেলো বললেন বাঙ্গির ব্যাবসা । আপনারা <Gender> <Gender> সুবিধের না ।,পরে দেখা গেলো বললেন বাঙ্গির ব্যাবসা । আপনারা <Gender> <Gender> সুবিধের না ।,পরে দেখা গেলো বললেন বাঙ্গির ব্যাবসা । আপনারা <Gender> <Gender> সুবিধের না ।,1
ভাই এত টাকা ইনকাম করেও কোন লাভ হয় নাই । দুইটা পরটার সাথে মাত্র এক পিস মাংস !,বোন এত টাকা ইনকাম করেও কোন লাভ হয় নাই  ।  দুইটা পরটার সাথে মাত্র এক পিস মাংস !,1,1,<Gender> এত টাকা ইনকাম করেও কোন লাভ হয় নাই । দুইটা পরটার সাথে মাত্র এক পিস মাংস !,<Gender> এত টাকা ইনকাম করেও কোন লাভ হয় নাই । দুইটা পরটার সাথে মাত্র এক পিস মাংস !,<Gender> এত টাকা ইনকাম করেও কোন লাভ হয় নাই । দুইটা পরটার সাথে মাত্র এক পিস মাংস !,1
সেক্স করতে গিয়ে ক্যামনে ধর্ষিত হবে ? মানে নতুন করে পুরুষ নির্ষাতনের ফন্দি । মানেটা হলো বৈধ স্বামীর সাথে সেক্স করতে গিয়ে তার যদি মুড অফ থাকে তবে তার সাথে জোর করার চেষ্টা করলেও কি ধর্ষণচেষ্টা হবে ? থানায় মামলা হবে ?,সেক্স করতে গিয়ে ক্যামনে ধর্ষিত হবে ? মানে নতুন করে নারী নির্ষাতনের ফন্দি  ।  মানেটা হলো বৈধ স্ত্রীর সাথে সেক্স করতে গিয়ে তার যদি মুড অফ থাকে তবে তার সাথে জোর করার চেষ্টা করলেও কি ধর্ষণচেষ্টা হবে ? থানায় মামলা হবে ?,1,1,সেক্স করতে গিয়ে ক্যামনে ধর্ষিত হবে ? মানে নতুন করে <Gender> নির্ষাতনের ফন্দি । মানেটা হলো বৈধ স্বামীর সাথে সেক্স করতে গিয়ে তার যদি মুড অফ থাকে তবে তার সাথে জোর করার চেষ্টা করলেও কি ধর্ষণচেষ্টা হবে ? থানায় মামলা হবে ?,সেক্স করতে গিয়ে ক্যামনে ধর্ষিত হবে ? মানে নতুন করে <Gender> নির্ষাতনের ফন্দি । মানেটা হলো বৈধ স্ত্রীর সাথে সেক্স করতে গিয়ে তার যদি মুড অফ থাকে তবে তার সাথে জোর করার চেষ্টা করলেও কি ধর্ষণচেষ্টা হবে ? থানায় মামলা হবে ?,সেক্স করতে গিয়ে ক্যামনে ধর্ষিত হবে ? মানে নতুন করে <Gender> নির্ষাতনের ফন্দি । মানেটা হলো বৈধ <Name> সাথে সেক্স করতে গিয়ে তার যদি মুড অফ থাকে তবে তার সাথে জোর করার চেষ্টা করলেও কি ধর্ষণচেষ্টা হবে ? থানায় মামলা হবে ?,1
ভাই আপনার লেখা হাললুম বই টি কিনতে গিয়েছিলা কিনতে পারিনি দুইশো শত টাকা চায় আমার কাছে একশো শত টাকা ছিলো এখন বই টি কি ভাবে পাবো আপনার বই বলে কথা আমার নিতেই হবে,আফা আপনার লেখা হাললুম বই টি কিনতে গিয়েছিলা কিনতে পারিনি দুইশো শত টাকা চায় আমার কাছে একশো শত টাকা ছিলো এখন বই টি কি ভাবে পাবো আপনার বই বলে কথা আমার নিতেই হবে,1,1,<Gender> আপনার লেখা হাললুম বই টি কিনতে গিয়েছিলা কিনতে পারিনি দুইশো শত টাকা চায় আমার কাছে একশো শত টাকা ছিলো এখন বই টি কি ভাবে পাবো আপনার বই বলে কথা আমার নিতেই হবে,<Gender> আপনার লেখা হাললুম বই টি কিনতে গিয়েছিলা কিনতে পারিনি দুইশো শত টাকা চায় আমার কাছে একশো শত টাকা ছিলো এখন বই টি কি ভাবে পাবো আপনার বই বলে কথা আমার নিতেই হবে,<Gender> আপনার লেখা হাললুম বই টি কিনতে গিয়েছিলা কিনতে পারিনি দুইশো শত টাকা চায় আমার কাছে একশো শত টাকা ছিলো এখন বই টি কি ভাবে পাবো আপনার বই বলে কথা আমার নিতেই হবে,1
ভাই আমার একটা দামী কানের দুল হারায় গেছে এটা নিয়ে একটা নিউজ করেন পিলিগ,আফা আমার একটা দামী কানের দুল হারায় গেছে এটা নিয়ে একটা নিউজ করেন পিলিগ,1,1,<Gender> আমার একটা দামী কানের দুল হারায় গেছে এটা নিয়ে একটা নিউজ করেন পিলিগ,<Gender> আমার একটা দামী কানের দুল হারায় গেছে এটা নিয়ে একটা নিউজ করেন পিলিগ,<Gender> আমার একটা দামী কানের দুল হারায় গেছে এটা নিয়ে একটা নিউজ করেন পিলিগ,1
এখানে অযোগ্য লোকরাই নোবেলের গানের বিরোধিতা করছে পারলে নিজেরা গান গেয়ে দেখান আর না হয় শিকারী এবং ভিখারি সমালোচকরা দূরে থাকুন,এখানে অযোগ্য মহিলারাই নোবেলের গানের বিরোধিতা করছে পারলে নিজেরা গান গেয়ে দেখান আর না হয় শিকারী এবং ভিখারিনী সমালোচকরা দূরে থাকুন,1,1,এখানে অযোগ্য লোকরাই নোবেলের গানের বিরোধিতা করছে পারলে নিজেরা গান গেয়ে দেখান আর না হয় শিকারী এবং <Gender> সমালোচকরা দূরে থাকুন,এখানে অযোগ্য মহিলারাই নোবেলের গানের বিরোধিতা করছে পারলে নিজেরা গান গেয়ে দেখান আর না হয় শিকারী এবং <Gender> সমালোচকরা দূরে থাকুন,এখানে অযোগ্য <Name> নোবেলের গানের বিরোধিতা করছে পারলে নিজেরা গান গেয়ে দেখান আর না হয় শিকারী এবং <Gender> সমালোচকরা দূরে থাকুন,1
জানি এখানে কমেন্ড করলে আমার জামাই ঘড়ে যায়গা দিবেনা তারপরেও কমেন্ড করবো তুমাকে একদম মোরগির বাচ্চার মত সুন্দর লাগছে সোনা আমার,জানি এখানে কমেন্ড করলে আমার বউ ঘড়ে যায়গা দিবেনা তারপরেও কমেন্ড করবো তুমাকে একদম মোরগের বাচ্চার মত সুন্দরী লাগছে সোনা আমার,1,1,জানি এখানে কমেন্ড করলে আমার <Gender> ঘড়ে যায়গা দিবেনা তারপরেও কমেন্ড করবো তুমাকে একদম মোরগির বাচ্চার মত <Gender> লাগছে সোনা আমার,জানি এখানে কমেন্ড করলে আমার <Gender> ঘড়ে যায়গা দিবেনা তারপরেও কমেন্ড করবো তুমাকে একদম মোরগের বাচ্চার মত <Gender> লাগছে সোনা আমার,জানি এখানে কমেন্ড করলে আমার <Gender> ঘড়ে যায়গা দিবেনা তারপরেও কমেন্ড করবো তুমাকে একদম <Name> বাচ্চার মত <Gender> লাগছে সোনা আমার,1
যে পারফরম্যান্স দিছো মিয়া প্রথম ম্যাচে । এভাবে চলতে থাকলে পরের ম্যাচগুলোতে সাইড ব্যাঞ্চে বসে থাকতে হবে ! আজকেও তা মনে হয় হতে পারে,যে পারফরম্যান্স দিছো বিবি প্রথম ম্যাচে  ।  এভাবে চলতে থাকলে পরের ম্যাচগুলোতে সাইড ব্যাঞ্চে বসে থাকতে হবে ! আজকেও তা মনে হয় হতে পারে,1,1,যে পারফরম্যান্স দিছো <Gender> প্রথম ম্যাচে । এভাবে চলতে থাকলে পরের ম্যাচগুলোতে সাইড ব্যাঞ্চে বসে থাকতে হবে ! আজকেও তা মনে হয় হতে পারে,যে পারফরম্যান্স দিছো <Gender> প্রথম ম্যাচে । এভাবে চলতে থাকলে পরের ম্যাচগুলোতে সাইড ব্যাঞ্চে বসে থাকতে হবে ! আজকেও তা মনে হয় হতে পারে,যে পারফরম্যান্স দিছো <Gender> প্রথম ম্যাচে । এভাবে চলতে থাকলে পরের ম্যাচগুলোতে সাইড ব্যাঞ্চে বসে থাকতে হবে ! আজকেও তা মনে হয় হতে পারে,1
ওরে বাবা বিশ্বের কত বড় খেলোয়ার যে টেস্ট ম্যাচেও টি বিশ প্রাকটিস করে ।,ওরে মা বিশ্বের কত বড় খেলোয়ার যে টেস্ট ম্যাচেও টি বিশ প্রাকটিস করে  ।,1,1,ওরে <Gender> বিশ্বের কত বড় খেলোয়ার যে টেস্ট ম্যাচেও টি বিশ প্রাকটিস করে ।,ওরে <Gender> বিশ্বের কত বড় খেলোয়ার যে টেস্ট ম্যাচেও টি বিশ প্রাকটিস করে ।,ওরে <Gender> বিশ্বের কত বড় খেলোয়ার যে টেস্ট ম্যাচেও টি বিশ প্রাকটিস করে ।,1
দিঠির জায়গায় যদি জুন হতো তাহলে শ্রীময়ীর আরেক ন্যাকামি দেখা যেত  ।  কি যে বিরক্তিকর বানিয়ে ফেলেছে সিরিয়াল টা  ।  অসহ্য হয়ে গেছে  ।  লেখক গাজা খেয়ে এর কাহিনি লিখছে  ।,দিঠির জায়গায় যদি জুন হতো তাহলে শ্রীময়ীর আরেক ন্যাকামি দেখা যেত । কি যে বিরক্তিকর বানিয়ে ফেলেছে সিরিয়াল টা । অসহ্য হয়ে গেছে । লেখিকা গাজা খেয়ে এর কাহিনি লিখছে ।,1,1,দিঠির জায়গায় যদি জুন হতো তাহলে শ্রীময়ীর আরেক ন্যাকামি দেখা যেত । কি যে বিরক্তিকর বানিয়ে ফেলেছে সিরিয়াল টা । অসহ্য হয়ে গেছে । <Gender> গাজা খেয়ে এর কাহিনি লিখছে ।,দিঠির জায়গায় যদি জুন হতো তাহলে শ্রীময়ীর আরেক ন্যাকামি দেখা যেত । কি যে বিরক্তিকর বানিয়ে ফেলেছে সিরিয়াল টা । অসহ্য হয়ে গেছে । <Gender> গাজা খেয়ে এর কাহিনি লিখছে ।,দিঠির জায়গায় যদি জুন হতো তাহলে শ্রীময়ীর আরেক ন্যাকামি দেখা যেত । কি যে বিরক্তিকর বানিয়ে ফেলেছে সিরিয়াল টা । অসহ্য হয়ে গেছে । <Gender> গাজা খেয়ে এর কাহিনি লিখছে ।,1
আরে ভাই তাড়াতাড়ি যা করার কর আর সিরিয়ালটা শেষ কর বাড়িতে টিভি দেখতে পাইনা তোদের জন্য,আরে বোন তাড়াতাড়ি যা করার কর আর সিরিয়ালটা শেষ কর বাড়িতে টিভি দেখতে পাইনা তোদের জন্য,1,1,আরে <Gender> তাড়াতাড়ি যা করার কর আর সিরিয়ালটা শেষ কর বাড়িতে টিভি দেখতে পাইনা তোদের জন্য,আরে <Gender> তাড়াতাড়ি যা করার কর আর সিরিয়ালটা শেষ কর বাড়িতে টিভি দেখতে পাইনা তোদের জন্য,আরে <Gender> তাড়াতাড়ি যা করার কর আর সিরিয়ালটা শেষ কর বাড়িতে টিভি দেখতে পাইনা তোদের জন্য,1
ওয়াশ থেইকা বাঁচেন মিয়া,ওয়াশ থেইকা বাঁচেন বিবি,1,1,ওয়াশ থেইকা বাঁচেন <Gender>,ওয়াশ থেইকা বাঁচেন <Gender>,ওয়াশ থেইকা বাঁচেন <Gender>,1
আপনার মেয়ে কি খাচ্ছে কি না খাচ্ছে কখন ঘুমাচ্ছে এসব আপডেট জেনে ব্যক্তিগতভাবে আমার কাজটা কি বলতে পারেন ভাই ?,আপনার ছেলে কি খাচ্ছে কি না খাচ্ছে কখন ঘুমাচ্ছে এসব আপডেট জেনে ব্যক্তিগতভাবে আমার কাজটা কি বলতে পারেন বোন ?,1,1,আপনার <Gender> কি খাচ্ছে কি না খাচ্ছে কখন ঘুমাচ্ছে এসব আপডেট জেনে ব্যক্তিগতভাবে আমার কাজটা কি বলতে পারেন <Gender> ?,আপনার <Gender> কি খাচ্ছে কি না খাচ্ছে কখন ঘুমাচ্ছে এসব আপডেট জেনে ব্যক্তিগতভাবে আমার কাজটা কি বলতে পারেন <Gender> ?,আপনার <Gender> কি খাচ্ছে কি না খাচ্ছে কখন ঘুমাচ্ছে এসব আপডেট জেনে ব্যক্তিগতভাবে আমার কাজটা কি বলতে পারেন <Gender> ?,1
সব শাশুরী উফফফ নেইমারের কি হাজার খানেক শাশুরি আছে বলদ সাংবাদিক । ছাগলের তিন নম্বর বাচ্চার মতো সাংবাদিক নেইমারের পিছনে পড়ে আছে ।,সব শ্বশুর উফফফ নেইমারের কি হাজার খানেক শ্বশুর আছে বলদি মহিলা সাংবাদিক  ।  ছাগলের তিন নম্বর বাচ্চার মতো সাংবাদিক নেইমারের পিছনে পড়ে আছে  ।,1,1,সব শাশুরী উফফফ নেইমারের কি হাজার খানেক শাশুরি আছে <Gender> <Gender> । ছাগলের তিন নম্বর বাচ্চার মতো <Gender> নেইমারের পিছনে পড়ে আছে ।,সব <Gender> উফফফ নেইমারের কি হাজার খানেক <Gender> আছে বলদি <Gender> <Gender> । ছাগলের তিন নম্বর বাচ্চার মতো <Gender> নেইমারের পিছনে পড়ে আছে ।,সব <Gender> উফফফ নেইমারের কি হাজার খানেক <Gender> আছে <Name> <Gender> <Gender> । ছাগলের তিন নম্বর বাচ্চার মতো <Gender> নেইমারের পিছনে পড়ে আছে ।,1
কমেন্ট গুলা পড়ি এলার্জী রোগী আছে তো তিন,কমেন্ট গুলা পড়ি এলার্জী রোগিণী আছে তো তিন,1,1,কমেন্ট গুলা পড়ি এলার্জী <Gender> আছে তো তিন,কমেন্ট গুলা পড়ি এলার্জী <Gender> আছে তো তিন,কমেন্ট গুলা পড়ি এলার্জী <Gender> আছে তো তিন,1
শহরের রাজা আলুভাজা,শহরের রানী আলুভাজা,1,1,শহরের <Gender> আলুভাজা,শহরের <Gender> আলুভাজা,শহরের <Gender> আলুভাজা,1
