male,female,_original_label,test,pred_male_kldm,pred_female_kldm
রুবেল তোর চেহারা যেমন কালো তোর মনটাও তেমন কালো কুকুরের বাচ্চারা তোরা নিজেরা জেনা-ব্যভিচার করছোস কিন্তু আল্লাহকে গালাগালি করস কেন শালা নারী খোর লুচ্চা কোথাকার এদেশের মানুষেরা ইসলামকে ভালোবাসে আল্লাহকে ভালবাসে নবীকে ভালবাসে তোর গালে একদিন জুতাপেটা করা হবে আল্লাহর সাথে তুই কি শব্দ ব্যাবহার করস বেয়াদব,তপতী  তোর চেহারা যেমন কালো তোর মনটাও তেমন কালো কুকুরের বাচ্চারা তোরা নিজেরা জেনা-ব্যভিচার করছোস কিন্তু আল্লাহকে গালাগালি করস কেন শালী নর খোর লুচ্চা কোথাকার এদেশের মানুষেরা ইসলামকে ভালোবাসে আল্লাহকে ভালবাসে নবীকে ভালবাসে তোর গালে একদিন জুতাপেটা করা হবে আল্লাহর সাথে তুই কি শব্দ ব্যাবহার করস বেয়াদব,1,1,1,1
টাকা করার জন্য আর কোন পথ না পেলে তুর বাপ ভাই তো মাইগ্যা মানুষকে ভাড়া দিয়ে দিয়ে তুকে জন্ম দিয়েছে  ।  এখন টাকা আয় করার জন্য আর কোন পথ না পেলে তুর বাপ ভাইকে আবার ভাড়া তুই যে ভিডিও করেছস ঐ টা তুর বাপ ভাইকে ঠিক করে দে আমরা ও আসবো তুর বাপ ভাইকে খাইতে,টাকা করার জন্য আর কোন পথ না পেলে তুর মা বোন তো মাগি মানুষকে ভাড়া দিয়ে দিয়ে তুকে জন্ম দিয়েছে । এখন টাকা আয় করার জন্য আর কোন পথ না পেলে তুর মা বোনকে আবার ভাড়া তুই যে ভিডিও করেছস ঐ টা তুর মা বোনকে ঠিক করে দে আমরা ও আসবো তুর মা বোনকে খাইতে,1,1,1,1
চেবলা মাগির পোলা বুয়া খবর দেয়ার জন্য তোর মার বোদা দিয়ে গরম ডিম ঢুকানো হোক 😡😡,চেবলা মাগির মাইয়া বুয়া খবর দেয়ার জন্য তোর বাপের বোদা দিয়ে গরম ডিম ঢুকানো হোক 😡😡,1,1,1,1
শালা তুই একটা আবাল এসব বাংলা খবর কোথায় পাস,শালী তুই একটা আবালনি এসব বাংলা খবর কোথায় পাস,1,1,1,1
মামাপাপ বাপরেও ছেড়ে দেয় না সত্য বলার সৎ সাহস দেখানোর পরও আশরাফুলের ক্যারিয়ার নষ্ট করসো রক্ত গরম দেখাইলা। আর মাগিবাজ মালখোররা তুমার বন্ধু ।তর মুখে গু হালার পো হালা।,মামিপাপ মারেও ছেড়ে দেয় না সত্য বলার সত সাহস দেখানোর পরও  আশরাফ ুলের ক্যারিয়ার নষ্ট করসো রক্ত গরম দেখাইলা ।  আর মাগাবাজ মালখোররা তুমার বান্ধবী  । তর মুখে গু হালীর পো হালী ।,1,1,1,1
খুলনার টিম ম্যানেজন্ট এক নাম্বার পাগল ছারা আর কিছুইনা মেহেদী ছাগলটা একটা মেছ ভালো খেলছে এইজন্য পতিদিন ওপিনিং দেই নামে টা মুখস্ত মারি আউট হয়ে যায় কেন যে এই ভুলটা বার বার করে এখন খুলনার অবস্থা খারাপ,খুলনার টিম ম্যানেজন্ট এক নাম্বার পাগলী ছারা আর কিছুইনা মেহেদী ছাগলীটা একটা মেছ ভালো খেলছে এইজন্য পতিদিন ওপিনিং দেই নামে টা মুখস্ত মারি আউট হয়ে যায় কেন যে এই ভুলটা বার বার করে এখন খুলনার অবস্থা খারাপ,1,1,1,1
আবাল হালা বালের পিছ বানায় আবার বড় বড় কথা । কুত্তার বাচ্চারা টা ফাষ্ট বলার এর পিছ বানাইলো না ।,আবালনি হালী বালের পিছ বানায় আবার বড় বড় কথা  ।  কুত্তার বাচ্চারা টা ফাষ্ট বলার এর পিছ বানাইলো না  ।,1,1,1,1
এক বার বলছে নাসির পাপনের মেয়েকে ফুটকি মারছে ।এখন বলবে সাকিব তার বৌর ফুটকি মারছে ।খানকির পোলা কে জুতা মার ।,এক বার বলছে নাসির  অমৃতার ছেলেকে ফুটকি মারছে  । এখন বলবে ফারহানা  তার জামাইয়ের ফুটকি মারছে  । খানকির মাইয়া কে জুতা মার  ।,1,1,1,1
আরে আবাল লেখার এস এর এইচ দে বলে তুই শাকিব উচ্চারণ করবি??? উচ্চারণ টা সাকিব হবে। আবাল তুই ওয়ান মিলিওনের যোগ্য না। দোয়া করি তর সাবস্ক্রাইবার যেনো আব্বার ডিক্রিস হয়।,আরে আবালনি লেখার এস এর এইচ দে বলে তুই শাকিব উচ্চারণ করবি??? উচ্চারণ টা সাকিব হবে ।  আবালনি তুই ওয়ান মিলিওনের যোগ্য না ।  দোয়া করি তর সাবস্ক্রাইবার যেনো আব্বার ডিক্রিস হয় ।,1,1,1,1
কালকে চুদিরপো পাপনের বিরুদ্দে ঢাকা মিরপুর স্টেডিয়াম এর সামনে আন্দোলন করবো কে কে আছেন আমার সাথে লাইক দিয়ে সারা দিন যারা সাকিব ভাইকে ভালোবাসেন তারা অবশ্যই আসবেন আমাদের একটাই দাবি চুদিরপো মাদারচোদ পাপনের পদত্যাগ চাই,কালকে চুদিরমেয়া পাপনের বিরুদ্দে ঢাকা মিরপুর স্টেডিয়াম এর সামনে আন্দোলন করবো কে কে আছেন আমার সাথে লাইক দিয়ে সারা দিন যারা  আদৃতা  বোনকে ভালোবাসেন তারা অবশ্যই আসবেন আমাদের একটাই দাবি চুদিরমেয়া মাদারচোদ পাপনের পদত্যাগ চাই,1,1,1,1
পাপনের বাপকে স্বামীকে ছেলেকে চুদি মাগির মাইয়্যা,পাপনের মাকে বউকে মেয়েকে চুদি মাগির পুলা,1,1,1,1
শালা মাদারচুদ তাসকিন তোর মা বউ রে চুদি। খানকির বাচ্চা। তোর বউবে কুওা দিয়া চুদাই।তোর সোনা কাটুম যাতে তুই তোর বউরে চুদদো না পারস।,শালী মাদারচুদ রাইসা  তোর বাবা স্বামী রে চুদি ।  খানকির বাচ্চা ।  তোর স্বামীবে কুওা দিয়া চুদাই । তোর সোনা কাটুম যাতে তুই তোর জামাইরে চুদদো না পারস ।,1,1,1,1
আবাল গুলার বাড়ি নিশ্চই পাবনা,আবালনি গুলার বাড়ি নিশ্চই পাবনা,1,1,1,1
খানকির ছেলে তোরমাকে চুূদি গাজা খায়ে ভিডিও বানাও,খানকির মেয়ে তোরবাপকে চুূদি গাজা খায়ে ভিডিও বানাও,1,1,1,1
"এই চ্যানেল এর মাইরে চুদি ভুলভাল ভিডিও দেখাস খানকির পোলা
",এই চ্যানেল এর বাপরে চুদি ভুলভাল ভিডিও দেখাস খানকির মাইয়া,1,1,1,1
"এই চ্যানেল এর মাইরে চুদি ভুলভাল ভিডিও দেখাস খানকির পোলা
",এই চ্যানেল এর মাইরে চুদি ভুলভাল ভিডিও দেখাস খানকির মেয়া,1,1,1,1
মুশফিক এর নামে টি সাট পরছে যে লোক টা ওই লোকটা তো গাজাখুর। শালারা তোদের পুটকি দিয়া ডিম দিতে হবে। পাবলিক এর টাকায় খেলে যখন হেরে আসো তখন তোমাদেরকে জুতা পেটা করা দরকার। পাবলিক এখন গালি দিলে গায়ে লাগে কেনো। ডিম মারতে হবে কোন খেলায় হারলে,মুশফিক এর নামে টি সাট পরছে যে মহিলা টা ওই লোকটা তো গাজাখুর ।  শালিরা তোদের পুটকি দিয়া ডিম দিতে হবে ।  পাবলিক এর টাকায় খেলে যখন হেরে আসো তখন তোমাদেরকে জুতা পেটা করা দরকার ।  পাবলিক এখন গালি দিলে গায়ে লাগে কেনো ।  ডিম মারতে হবে কোন খেলায় হারলে,1,1,1,1
তামিম ইকবাল কি অাপনার উনার ছেলেকে বিয়ে করছিলো?,তামিম ইকবাল কি অাপনার উনার মেয়েকে বিয়ে করছিলো?,1,1,0,0
মুশফিকের জার্সি পরা বাদাইম্যা চাম চার বাচ্চা বাচ্চা তোরে পাইলে মাগির পোলা পাঙ্গাস মাছের মতো কুচিকুচি করতাম,মুশফিকের জার্সি পরা বাদাইম্যা চাম চার বাচ্চা বাচ্চা তোরে পাইলে মাগির মাইয়া পাঙ্গাস মাছের মতো কুচিকুচি করতাম,1,1,1,1
মুশফিকের জার্সি পরা বাদাইম্যা চাম চার বাচ্চা বাচ্চা তোরে পাইলে মাগির পোলা পাঙ্গাস মাছের মতো কুচিকুচি করতাম,মুশফিকের জার্সি পরা বাদাইম্যা চাম চার বাচ্চা বাচ্চা তোরে পাইলে মাগির মেয়া পাঙ্গাস মাছের মতো কুচিকুচি করতাম,1,1,1,1
শালা পাপইন্না গু হারা হারবি,শালী  তপতী  গু হারা হারবি,1,1,1,1
সালা প্রতিবন্ধী তাসকিন জাতীয় দল থাইকা বাদ পইড়া সালা আবাল জারজ তাসকিন,সালী প্রতিবন্ধী দুর্গা  জাতীয় দল থাইকা বাদ পইড়া সালী আবালনি জারজ দুর্গা  ,1,1,1,1
পাপন কুত্তুর বাচ্চা মদ খোর এই পাপন কুত্তুরা বাচ্চাকে কি করা যায় টুপি ভাই এই নিয়ে কিছু বলেন,নাজনিন কুত্তুর বাচ্চা মদ খোর এই নাজনিন কুত্তুরা বাচ্চাকে কি করা যায়  অন্তরা  আফা এই নিয়ে কিছু বলেন,1,1,1,1
বুকা চুদারে গালি দিছেতে কি হয়েছে সালা আবাল গুলাক দল থেকে বাদ দিয়া দে হালারা একটা জিনিস নিয়ে এতো কিছু করা ঠিক না,বুকা চুদারে গালি দিছেতে কি হয়েছে সালী আবালনি গুলাক দল থেকে বাদ দিয়া দে হালীরা একটা জিনিস নিয়ে এতো কিছু করা ঠিক না,1,1,1,1
খানকির পোলা তোর লজ্জা লাগে না এসব কথা বলতে? জুয়াড়ির বাচ্চামিথ্যেবাদী পাপন। তুই তো বিদেশে যেয়ে ক্যাসিনোতে জুয়া খেলোস।।,খানকির মাইয়া তোর লজ্জা লাগে না এসব কথা বলতে? জুয়াড়ির বাচ্চামিথ্যেবাদিনী নাজনিন ।  তুই তো বিদেশে যেয়ে ক্যাসিনোতে জুয়া খেলোস ।  ।,1,1,1,1
পাপন খানকির পোলা সব কিছুর জন্য দায়ী তুই,নাজনিন খানকির মেয়া সব কিছুর জন্য দায়ী তুই,1,1,1,1
পাপনরে কোন মাইকে গালি দিলে সুনকে পাব কেউ জানেন শালার পুত রানান আপ এর পুরস্কার নাই কেন।,পাপনরে কোন মাইকে গালি দিলে সুনকে পাব কেউ জানেন শালীর মাইয়্যা রানান আপ এর পুরস্কার নাই কেন ।,1,1,1,1
পাপন একটা খানকির ছেলে অর পদত্যাগ চাই চাই চাই,নাজনিন একটা খানকির মেয়ে অর পদত্যাগ চাই চাই চাই,1,1,1,1
সাবিবর যখন ব্যাটিং এ আসে তখন আমি অনেক থাকি।কিনতু ভাই যখন খারাপ করে তখন জুতা মারতে মন চায়।😄😄,সাবিবর যখন ব্যাটিং এ আসে তখন আমি অনেক থাকি । কিনতু আফা যখন খারাপ করে তখন জুতা মারতে মন চায় । 😄😄,1,1,0,0
সবাই বুঝে ভাই । পাপন কুক্তার বাচ্চা জানোয়ারের কাজ। পাপন মাদার চোট,সবাই বুঝে বোন  ।  নাজনিন কুক্তার বাচ্চা জানোয়ারের কাজ ।  নাজনিন মাদার চোট,1,1,1,1
আর কাজ পায় না এই পাগল গুলোরে নেটওয়ার্কে দেখাতে হয়,আর কাজ পায় না এই পাগলিনী গুলোরে নেটওয়ার্কে দেখাতে হয়,1,1,0,0
আর কাজ পায় না এই পাগল গুলোরে নেটওয়ার্কে দেখাতে হয়,আর কাজ পায় না এই পাগলী গুলোরে নেটওয়ার্কে দেখাতে হয়,1,1,0,0
পাপনের বাব ভারত আর পাপন শালা একটা চোর গাঁজা খাওয়া বাইনচোদ এর মতো রাজাকার যতো দিন আছে ততো দিন বাংলাদেশের এই অবস্থা থাকবে,জোহরা  মা ভারত আর  অমৃতা  শালী একটা চুন্নি গাঁজা খাওয়া বাইনচোদ এর মতো রাজাকার যতো দিন আছে ততো দিন বাংলাদেশের এই অবস্থা থাকবে,1,1,1,1
সব কাজ এই সালা পাপন এর তাকে বিসিবি থেকে বাদ দিয়ে মাসরাফি ভাই কে দেখতে চাই বিসিবি,সব কাজ এই সালী  জোহরা  এর তাকে বিসিবি থেকে বাদ দিয়ে  তপতী  বোন কে দেখতে চাই বিসিবি,1,1,1,1
পাকিস্তান আসল কথা থেকে?? শালার ধকাবাজ ইউটিউবার,পাকিস্তান আসল কথা থেকে?? শালীর ধকাবাজ ইউটিউবার,1,1,1,1
খানকির পলা সাংবাদিক,খানকির মাইয়্যা সাংবাদিক,1,1,1,1
মাদারচুদ বস্তির পুলা বড় লোক হয়ছে তাই এই অবস্থা।ওর শাস্তি কম হয়ে গেছে।,মাদারচুদ বস্তির মেয়া বড় লোক হয়ছে তাই এই অবস্থা । ওর শাস্তি কম হয়ে গেছে ।,1,1,1,1
চোর এর বড় গলা চোর সালা,চুন্নি এর বড় গলা চুন্নি সালী,1,1,1,1
সালার পোলা,সালীর মেয়া,1,1,1,1
নাটের গুরু পাপন পাগল,নাটের গুরু মা  আয়েশা  পাগলি,1,1,0,1
"তুমি এখন ও বল বয়
",তুমি এখন ও বল গার্ল,1,1,0,0
ব্যাডলাগ বলায় কি সমোস্সা খানকির পোলা মুশফিক লাখ টাকা বেতন নাও তোমার মা বোন চোদাইনা টাকা কুত্তার বাচ্চারা হংকং বারমুডার মত দলের সাথেও পারিস না কুত্তার চোদা পাবলিকের টাকা খাও বউ পালো আর একটু খারাপ বল্লেই সাউয়ায় লাগে লাখ টাকা মাদার চোদ ওই চামচা কত্তার বাচ্চা চামচামি বন্দো কর,ব্যাডলাগ বলায় কি সমোস্সা খানকির মাইয়া  আদৃতা  লাখ টাকা বেতন নাও তোমার বাপ ভাই চোদাইনা টাকা কুত্তার বাচ্চারা হংকং বারমুডার মত দলের সাথেও পারিস না কুত্তার চোদা পাবলিকের টাকা খাও জামাই পালো আর একটু খারাপ বল্লেই সাউয়ায় লাগে লাখ টাকা মাদার চোদ ওই চামচা কত্তার বাচ্চা চামচামি বন্দো কর,1,1,1,1
খানকির বাচ্চা পাপন তুই কঠিন নাটক বাজতোর বাপে তোর মাকে যে সময় চোদে ঐ সময় তোর বাপ মিথ্যা কথা বলে তোর মাকে চোদছিলআর সেই চুদার ফসল হলি তুই খানকির পোলা পাপন,খানকির বাচ্চা নাজনিন তুই কঠিন নাটক বাজতোর মায়ে তোর বাপকে যে সময় চোদে ঐ সময় তোর মা মিথ্যা কথা বলে তোর বাপকে চোদছিলআর সেই চুদার ফসল হলি তুই খানকির মাইয়্যা পাপন,1,1,1,1
মাঠে তো খেলতে যাও না! ছেলে দেখতে যাও,মাঠে তো খেলতে যাও না! মেয়ে দেখতে যাও,1,1,0,0
এখানে দেখি খানকির পোলারা প্রের্মাস হোয়ার লাইগা এমন কোরে এই লোকটাকে হয়রানি কোরতেছে জার্চি পরা মাগির পুততো হিরনছি খানকির পোলার পোলাটা বার বার কছম বোলতেছে তার পরও হয়রানি কোরলি কেন মাগির পুত তগোরে মুরসিক ভাই কিছু দিবে মনে হয়,এখানে দেখি খানকির মাইয়ারা প্রের্মাস হোয়ার লাইগা এমন কোরে এই মহিলাটাকে হয়রানি কোরতেছে জার্চি পরা মাগার মেয়াতো হিরনছি খানকির মেয়ার মেয়াটা বার বার কছম বোলতেছে তার পরও হয়রানি কোরলি কেন মাগার মেয়া তগোরে  সরলা  ভাবী কিছু দিবে মনে হয়,1,1,1,1
শালা মাগির দালাল কুত্তা হারামি হাই ওয়ান,শালী মাগির দালাল কুত্তা হারামি হাই ওয়ান,1,1,1,1
ছেলে মানুষ ইনজয় করবেই,মেয়ে মানুষ ইনজয় করবেই,1,1,0,0
পাপন সালা একটা দুর্নিতির গুডাউন। দেশের সরকার তাকে সাহাজ্য করে,নুজহাত  সালী একটা দুর্নিতির গুডাউন ।  দেশের সরকার তাকে সাহাজ্য করে,1,1,1,1
তারজনও কাদতে হল তাসকীনের শালা পাগল,তারজনও কাদতে হল  কালীতারা  শালী পাগলী,1,1,1,1
খানকির পোলা তুই সত্যি জানস না,খানকির মাইয়া তুই সত্যি জানস না,1,1,1,1
কালা পাঠা তুই একটা মেয়েৱ জীবন নিয়ে খেলাটা ঠিক হয় নাই,কালা পাঁঠি তুই একটা ছেলের জীবন নিয়ে খেলাটা ঠিক হয় নাই,1,1,0,0
মাগীর রাজা - মাগরাজ 😉,মাগির রানী - মাগরানী 😉,1,1,1,1
শালা গর কোন কাজ নাই,শালী গর কোন কাজ নাই,1,1,1,1
যারা ডিজলাইক দিয়েছে তারা কুকুর চোদা,যারা ডিজলাইক দিয়েছে তারা কুকুরী চোদা,1,1,1,1
শালা পবন ভারতের দালাল টাকা নিয়েছে ভারতের কাছ থেকে,শালী  অন্তরা  ভারতের দালাল টাকা নিয়েছে ভারতের কাছ থেকে,1,1,1,1
প্রত্যয় হীরণ হতে চেয়েছো বেটা নাহিদ ? বোকাচোদা নাহিদ এতবড় আল্লাম্মা এরা এমনি হয়নি।ওদের ভুল না ধরে নিজের আখের গুছা। পরের ভুল না ধরে ভালো ভিডিও বানা শয়তান। তোরে কয়জনে চিনে?ওদেরকে হাজারহাজার মানুষ চিনে। অযথা নিজের কুচরিত্রমার্কা ভুল ধরার গান্দেগী ওদের উপর না দিয়ে বিশৃংখলা না করে শান্তির ভিডিও বানা। নয়তো দুচে দিনো তোর চৌদ্দগুষ্টিকে কথা কি ক্লিয়ার না ভেজাল আছে শয়তানের দোসর👹,প্রত্যয় হীরণ হতে চেয়েছো বেটি  গুলশান  ? বোকাচোদা  গুলশান  এতবড় আল্লাম্মা এরা এমনি হয়নি । ওদের ভুল না ধরে নিজের আখের গুছা ।  পরের ভুল না ধরে ভালো ভিডিও বানা শয়তানি ।  তোরে কয়জনে চিনে?ওদেরকে হাজারহাজার মানুষ চিনে ।  অযথা নিজের কুচরিত্রমার্কা ভুল ধরার গান্দেগী ওদের উপর না দিয়ে বিশৃংখলা না করে শান্তির ভিডিও বানা ।  নয়তো দুচে দিনো তোর চৌদ্দগুষ্টিকে কথা কি ক্লিয়ার না ভেজাল আছে শয়তানির দোসর👹,1,1,1,1
কিছু কিছু আবাল কমেন্ট করছে পাপন পদত্যাগ করবে পাপন আসার পরে ক্রীকেটের অনেক উন্নতি হইছে।তোরা কি চাস তোদের বাপকে বসাবী বোর্ডে।,কিছু কিছু আবালনি কমেন্ট করছে নাজনিন পদত্যাগ করবে নাজনিন আসার পরে ক্রীকেটের অনেক উন্নতি হইছে । তোরা কি চাস তোদের মাকে বসাবী বোর্ডে ।,1,1,1,1
পাপন খানকির পোলা আল্লাহ তোর বিচার করবে 😭😭😭😭😭,নাজনিন খানকির মেয়া আল্লাহ তোর বিচার করবে 😭😭😭😭😭,1,1,1,1
তুই জি ক্যাসিনো খেলছিস সেটার জন্য কি হবে তুই একটা কুততা তোর বন্ধু ও আরেকটা কুততা,তুই জি ক্যাসিনো খেলছিস সেটার জন্য কি হবে তুই একটা কুততা তোর বান্ধবী ও আরেকটা কুততা,1,1,0,0
তুই জি ক্যাসিনো খেলছিস সেটার জন্য কি হবে তুই একটা কুততা তোর বন্ধু ও আরেকটা কুততা,তুই জি ক্যাসিনো খেলছিস সেটার জন্য কি হবে তুই একটা কুততা তোর বন্ধুপত্নী ও আরেকটা কুততা,1,1,0,0
নাসিরকে কেন খেলায় লয় শালা খেলা পারে না নাসিরকে ফাউ দলে রাখে,তপতীকে কেন খেলায় লয় শালী খেলা পারে না নাসিরকে ফাউ দলে রাখে,1,1,1,1
